"genes","baseMean","log2FoldChange","lfcSE","pvalue","padj","isDescendant","swiss_prot"
"TRINITY_DN10135_c0_g1",141.337491647807,0.545577261714516,0.338285863768975,0.000890393440044799,0.0600285618818339,FALSE,"MCAT_HUMAN"
"TRINITY_DN10148_c0_g1",44.5054756090721,-27.1365439499789,2.57040571541323,2.23471437673258e-26,1.34614724625617e-21,FALSE,"Y0170_DICDI"
"TRINITY_DN10192_c0_g1",5.43020905997695,-0.421902777999613,0.690900464945918,0.00152246970800224,0.0804831331905564,FALSE,"ESPN_MOUSE"
"TRINITY_DN10205_c1_g1",196.105948524922,-1.12147243989286,0.702505246402741,0.000168875187712028,0.0224953301655943,FALSE,"RTBS_DROME"
"TRINITY_DN1028_c0_g1",40.6377277084355,-0.460118535232396,0.316172717301008,0.00212528304361793,0.0969135503266138,TRUE,"LECT_SOLTU"
"TRINITY_DN10459_c0_g1",16.2002916518114,0.533224652545428,0.65960871396196,0.00217795140529902,0.0983105558279521,FALSE,"RL21_HUMAN"
"TRINITY_DN105_c0_g1",1149.31701348656,0.580620164044219,0.502270631906014,0.00178059750829926,0.0883158770728124,TRUE,"ENPL_PIG"
"TRINITY_DN1070_c1_g1",1069.32403352932,-0.86739189698605,0.398655882073695,7.25801354218259e-05,0.0135639783577496,FALSE,"PTHD3_MOUSE"
"TRINITY_DN10761_c0_g1",236.405242900838,-0.775131976144631,0.600325404611337,0.000703982135299737,0.0527036028042737,TRUE,"ERCC2_MOUSE"
"TRINITY_DN109149_c0_g1",30.3622808327231,-0.350119949343469,1.42957259835474,0.000455080363134071,0.0410376211294463,FALSE,"EF1A_SPOFR"
"TRINITY_DN10932_c0_g1",28.0936531905096,0.815543057980998,0.81296653832525,0.000524418914373037,0.044399081607875,TRUE,"CO1A1_HUMAN"
"TRINITY_DN1096_c0_g1",1073.52676224494,-0.369581214049649,0.166657158160559,0.00162463127518399,0.0836449049184046,FALSE,"EMAL1_RAT"
"TRINITY_DN1099_c0_g1",419.397412123237,-0.529010922215933,0.386794964703863,0.00159075304416726,0.0825000274425721,FALSE,"B3GT4_RAT"
"TRINITY_DN11003_c0_g1",955.924262115404,0.425382071738358,0.197245478401453,0.000910666505170429,0.0606822222770535,TRUE,"SERP2_BOVIN"
"TRINITY_DN11115_c0_g1",125.795131334371,1.40262099525042,0.76503651629719,5.56564609564297e-05,0.0113841558407247,FALSE,"ALDO2_MAIZE"
"TRINITY_DN11146_c0_g1",312.703863986325,0.604446265874933,0.474762065947463,0.00133236158420922,0.0746593461484603,FALSE,"AIFM1_HUMAN"
