"genes","baseMean","log2FoldChange","lfcSE","pvalue","padj","isDescendant","swiss_prot","fly"
"TRINITY_DN1004_c1_g1",1042.97919119025,-0.681242974018134,0.244374998027806,0.0018437225052974,0.050021786826626,FALSE,"RPGF2_CANLF","B7Z025_DROME"
"TRINITY_DN1004_c8_g2",341.514318073728,-0.845688204502328,0.200877346791429,5.60725166617463e-06,0.00127854831036101,FALSE,"SRPK1_MOUSE","M9NDF9_DROME"
"TRINITY_DN10056_c0_g1",289.053663019307,0.843533287480192,0.25261349344011,0.000166851726234106,0.0121480302696685,TRUE,"SEM1_BOVIN","SEM1_DROME"
"TRINITY_DN1008_c0_g1",1699.35662244303,-0.964496854154029,0.320382592112763,0.000260620125994432,0.0161274817733651,TRUE,"RUSC2_MOUSE","A8JR84_DROME"
"TRINITY_DN10093_c0_g1",93.7303544853637,-1.68983920680047,0.719756375187041,7.39444669481002e-06,0.00149699818801052,FALSE,"AP21_ORYSI","Q9VEZ2_DROME"
"TRINITY_DN10095_c2_g1",44.653841047231,-1.86899865367079,0.756899914020571,2.21153391083623e-06,0.00061798356043649,FALSE,"TENM_DROME","M9PJK5_DROME"
"TRINITY_DN10102_c0_g1",422.69297035283,-0.537897150737801,0.197098795077715,0.00342026389212818,0.0705876046584659,FALSE,"TRC_DROME","M9PG43_DROME"
"TRINITY_DN10107_c0_g1",205.300234088233,0.605709882049353,0.18331078110002,0.000445610931198137,0.0221299646432316,FALSE,"PSME3_PONAB","Q9V3P3_DROME"
"TRINITY_DN10135_c0_g1",140.638055111588,0.68151720371727,0.283522171164361,0.00518337309855111,0.0890230941710191,FALSE,"MCAT_HUMAN","COLT_DROME"
"TRINITY_DN10185_c0_g1",281.544782851696,-0.857881674162853,0.408170048265666,0.00380263763286607,0.0750316565251744,FALSE,"MYT1_MOUSE","GAR1_DROME"
"TRINITY_DN10207_c0_g1",26.8011106461328,0.819549007352171,0.352691545526357,0.00322631730094473,0.0680596866036613,TRUE,"DPOE3_RAT","DPOE3_DROME"
"TRINITY_DN1020_c0_g1",1316.3081097808,-0.694508633164188,0.292000159937639,0.00522545868902707,0.0894037240372776,FALSE,"SHRM4_HUMAN","SHRM_DROME"
"TRINITY_DN10319_c0_g1",29.269538036604,-0.736459729552187,0.320192942767584,0.0051969714390438,0.0890650374077435,FALSE,"Y7791_DICDI","MIDN_DROME"
"TRINITY_DN10347_c0_g1",375.943056856946,-0.843970284308245,0.313422008892259,0.00118674808359937,0.038981923805648,FALSE,"ADRL_DROME","A4V392_DROME"
"TRINITY_DN10366_c0_g1",227.719551075208,0.737110233229668,0.236563842362532,0.000544817084857044,0.0249481143019672,FALSE,"XPO2_ORENI","XPO2_DROME"
"TRINITY_DN1039_c0_g1",4184.97552017091,-0.890893066274877,0.441477680892985,0.00334558679001224,0.0696499915150502,TRUE,"LRP_CAEEL","A1Z7C4_DROME"
"TRINITY_DN103_c0_g1",67.056158454823,0.979984566539984,0.277628924488013,4.45622742378566e-05,0.00539094829804314,FALSE,"LSM6_HUMAN","Q9W2P5_DROME"
"TRINITY_DN1040_c0_g1",4985.09796858088,-0.846168997141471,0.340432985217866,0.00195680844775457,0.0513954475159094,FALSE,"MCATL_BOVIN","Q9VKZ5_DROME"
"TRINITY_DN10461_c0_g1",94.159401131119,0.993546307021986,0.270422118245126,2.4614600702344e-05,0.00364443043234706,FALSE,"SMD1_DROME","SMD1_DROME"
"TRINITY_DN1052_c0_g1",189.826148683569,1.05784217006856,0.411611277511815,0.000441190572056291,0.0220206816342058,FALSE,"FH16_ORYSJ","Q9VUZ0_DROME"
