"genes","baseMean","log2FoldChange","lfcSE","pvalue","padj","isDescendant","swiss_prot","fly"
"TRINITY_DN1004_c8_g2",341.514318073728,-0.78360444294042,0.26350634581243,0.00066552270814582,0.0280636993190501,FALSE,"SRPK1_MOUSE","M9NDF9_DROME"
"TRINITY_DN10080_c0_g1",5908.20762598636,0.748345030715269,0.333815595429331,0.00517171269793763,0.0889525617053165,FALSE,"RS15_CHICK","A1ZAH8_DROME"
"TRINITY_DN10093_c0_g1",93.7303544853637,-1.01907984448948,0.584704636455985,0.000365645632486044,0.0197890733620568,FALSE,"AP21_ORYSI","Q9VEZ2_DROME"
"TRINITY_DN10095_c2_g1",44.653841047231,-1.05546600423881,0.590991834813998,0.000266189858860883,0.016350485448297,FALSE,"TENM_DROME","M9PJK5_DROME"
"TRINITY_DN10102_c0_g1",422.69297035283,-0.730844695661556,0.260067023185697,0.00134658482270178,0.0417929050649817,FALSE,"TRC_DROME","M9PG43_DROME"
"TRINITY_DN10264_c0_g1",1007.3553011627,0.732118623581028,0.281024064910792,0.00236502362713643,0.0567034063593797,TRUE,"RHEB_DROME","RHEB_DROME"
"TRINITY_DN1056_c0_g1",1406.12075787198,0.466016946680295,0.161903525807731,0.00248907721928772,0.0584763671174285,FALSE,"WAC_DROME","WAC_DROME"
"TRINITY_DN10598_c0_g1",39.4867878858456,-1.02029921212476,0.45820839032634,0.000680640762376476,0.0284592470506834,FALSE,"H6ST2_HUMAN","Q9VDR6_DROME"
"TRINITY_DN106160_c0_g1",77.5558419523,-0.923141965829289,2.45228357141441,0.000596614347217313,0.0263175634796133,FALSE,"NU1M_ANOGA","NU1M_DROME"
"TRINITY_DN10667_c0_g1",857.916015501592,-1.22370020577135,0.310488604163256,2.5876312698807e-06,0.000684514725259107,FALSE,"PKHA7_DANRE","A8JR02_DROME"
"TRINITY_DN1071_c0_g1",584.621517999942,0.877768498098111,0.344692898601607,0.00131662676556497,0.0412994071601724,FALSE,"HDA11_MOUSE","Q9VC26_DROME"
"TRINITY_DN10744_c0_g1",837.403189396474,0.866224743418266,0.379807685889544,0.00238495326082916,0.0569822225305262,FALSE,"P53_HUMAN","Q8T8Y5_DROME"
