"genes","baseMean","log2FoldChange","lfcSE","pvalue","padj","isDescendant","fly"
"TRINITY_DN10340_c0_g2",30511.6762050641,0.20007104853228,0.218364554534232,0.00775261610053675,0.0995077728115326,TRUE,"X2JB48_DROME"
"TRINITY_DN106160_c0_g1",77.2348179017759,-3.1678535069982,5.41189937147772,5.44058266659197e-05,0.00543229998850253,FALSE,"NU1M_DROME"
"TRINITY_DN10744_c0_g1",836.228738609845,0.254498044199952,0.205812292935292,0.00617756346826576,0.087854302912424,FALSE,"Q8T8Y5_DROME"
"TRINITY_DN10761_c0_g1",237.461597998363,-0.19284497501381,0.234767496555506,0.00338019037186573,0.0626046443790347,TRUE,"Q7KVP9_DROME"
"TRINITY_DN11109_c1_g1",10388.5018680327,0.246814321444284,0.207839629750465,0.00635928538357527,0.0894122474969353,FALSE,"RS12_DROME"
"TRINITY_DN11231_c0_g1",159.034712962632,-0.308614726913784,0.456223448142109,0.000138461178930391,0.00956898341744348,FALSE,"NOCT_DROME"
"TRINITY_DN11306_c0_g1",260.829428360177,0.291419804336159,0.207081597672251,0.00196721358273719,0.0460793607345773,FALSE,"ASND1_DROME"
"TRINITY_DN1159_c2_g2",60.7144877940708,-0.126706972256106,0.40453680415304,0.00254000524048086,0.0532034352609922,TRUE,"GAR1_DROME"
"TRINITY_DN116068_c0_g1",39.4890494978943,-0.1267987275073,0.376238630877543,0.0027280309136848,0.0555048090218023,FALSE,"OTOP_DROME"
"TRINITY_DN117538_c0_g1",2956.4205064058,-12.9982181367464,6.47613184697973,3.32701778903638e-06,0.000751928500172148,FALSE,"COX1_DROME"
"TRINITY_DN117845_c0_g1",940.032210022065,-5.96445909602176,7.33478244743351,2.85975114443058e-05,0.00359608330940069,FALSE,"COX1_DROME"
"TRINITY_DN1217_c0_g2",261.113702617214,-0.200418720724195,0.32623078753775,0.000914232830285667,0.0299179091915542,FALSE,"NOS_DROME"
"TRINITY_DN12200_c0_g1",26.9822680850461,-0.161735613128889,0.459617467079798,0.00120804227143619,0.0351984372275862,FALSE,"NAAT1_DROME"
"TRINITY_DN1249_c1_g1",4267.63227577129,0.147471249797903,0.237242591941789,0.00729813117265175,0.0964882172308412,TRUE,"Q9VIU8_DROME"
"TRINITY_DN13010_c0_g1",68.01875774442,-0.304684141224161,0.194051134872875,0.00354130333207213,0.0638560944229006,FALSE,"Q7JRD4_DROME"
"TRINITY_DN13166_c0_g1",74.4432275397599,0.304331789438856,0.207383794685903,0.00135753652314249,0.0374964815545772,FALSE,"Q9VJZ2_DROME"
"TRINITY_DN13170_c0_g1",28.6669212748337,-0.287151405139057,0.264012707556158,0.000370809322247849,0.017872047579061,FALSE,"SY65_DROME"
"TRINITY_DN13316_c0_g1",933.134161427487,11.4133966876186,13.9473358300296,2.78843969779194e-05,0.00355766808759258,FALSE,"COX1_DROME"
"TRINITY_DN1340_c0_g1",411.793640140463,-0.317755182964032,0.1938436703794,0.00244169709829466,0.0520966555660125,FALSE,"Q9W3T7_DROME"
"TRINITY_DN13447_c0_g1",46.979661945115,-0.184277147482695,0.236373846409589,0.00374336750012756,0.0662581574366994,FALSE,"Q9W269_DROME"
"TRINITY_DN13454_c0_g1",36.141649371118,0.321637066502513,0.205986205385512,0.000940166048404235,0.0303841682638389,TRUE,"GEN_DROME"
"TRINITY_DN136044_c0_g1",29.617961725256,-0.253395663480449,0.631822911653091,0.000308011844754701,0.0161484140990595,FALSE,"Q0KI00_DROME"
"TRINITY_DN14125_c1_g1",39.0364506157831,-0.204301759055262,0.246915711456846,0.00196163814904592,0.046000911449492,FALSE,"Q9VNW7_DROME"
"TRINITY_DN14341_c0_g1",25.7966344604526,-0.157485491223211,0.244583744170253,0.0047934266612912,0.0757012881933567,FALSE,"A0A0B4JD76_DROME"
"TRINITY_DN15094_c0_g1",58.9411959644888,0.278360861439505,0.207046860388867,0.00282575492113048,0.0564769206728584,FALSE,"ZGPAT_DROME"
"TRINITY_DN1524_c0_g2",126.446732321369,0.275120437900846,0.199960560426858,0.00556722873597016,0.0829573342059812,FALSE,"Q9VKU5_DROME"
"TRINITY_DN15818_c0_g1",185.605536013411,0.258343474806378,0.220807806488061,0.00173846547469856,0.0428385968437155,FALSE,"TTD14_DROME"
"TRINITY_DN1582_c0_g1",37.5630331139077,0.234978722519552,0.211525125396928,0.00616205767315943,0.0877715459102145,FALSE,"MCCB_DROME"
"TRINITY_DN1585_c0_g1",571.70677728406,0.27935491215311,0.205436925831628,0.00315184759365906,0.0598388716590398,FALSE,"X2J516_DROME"
"TRINITY_DN15975_c0_g2",86.8541488328515,-0.246695367686471,0.238498150009191,0.0011399435561141,0.0340446178646969,FALSE,"Q7KVF1_DROME"
"TRINITY_DN1632_c0_g1",125.097529082888,-0.359991046600797,0.184322480904428,0.00111514678061542,0.0337867252398599,FALSE,"M9PG83_DROME"
"TRINITY_DN1668_c0_g1",357.637577763517,0.135410074156103,0.342948112017429,0.00260334061716098,0.054187392845935,TRUE,"B7YZY3_DROME"
"TRINITY_DN16709_c0_g1",10.7049210400951,-0.129814956727526,0.255619064595879,0.00635117007545829,0.0893371740533332,FALSE,"RIR1_DROME"
"TRINITY_DN1678_c1_g1",63.7953786264523,0.309092721744187,0.202565065435745,0.00170112060601933,0.0425435707132408,FALSE,"ADF1_DROME"
"TRINITY_DN1704_c4_g1",23.3952669831232,-0.19500179803244,0.224118252894201,0.00546161080376704,0.0819089997234949,FALSE,"Q540Y4_DROME"
"TRINITY_DN1738_c0_g1",2541.75835544846,0.418242404870081,0.19721184145236,0.000100603834854585,0.00790975355941519,FALSE,"EI3D2_DROME"
"TRINITY_DN17472_c0_g2",49.0212901518363,0.354433948323033,1.25778143542241,0.000303932566367721,0.0160858234373954,FALSE,"A8DYL2_DROME"
"TRINITY_DN1756_c0_g1",251.67900421259,-0.190342540988888,0.249864024494111,0.00234862299376304,0.0509792930034912,FALSE,"A4V3L8_DROME"
"TRINITY_DN1778_c0_g1",427.69431224838,-0.17000219979626,0.227662790134136,0.00735336213406692,0.0967594846665635,FALSE,"NAAT1_DROME"
"TRINITY_DN179_c0_g1",227.729481377087,-0.232309069410825,0.215543215944815,0.00452424182437856,0.0733549998951229,FALSE,"Q9W1J0_DROME"
"TRINITY_DN182042_c0_g1",9.79439455817675,-0.176423996377362,0.426888515746271,0.000985317721434149,0.0314404388471946,FALSE,"A0A0B4KI35_DROME"
"TRINITY_DN1858_c0_g1",452.618505381294,0.301438728132135,0.194822814922532,0.00371043710134885,0.065981079533768,FALSE,"Q9VB10_DROME"
"TRINITY_DN1878_c0_g1",394.437547714757,0.292826773379016,0.201030909574546,0.0030714403867669,0.0589088846767809,FALSE,"3HIDH_DROME"
"TRINITY_DN18870_c0_g1",169.346272372545,-0.165880090956053,0.275611321984067,0.00242138171195537,0.0519849599868753,FALSE,"NEP2_DROME"
"TRINITY_DN189317_c0_g2",10.6517872460201,0.195747611551298,1.18490099292371,0.0015992618822545,0.0412441871237708,FALSE,"Q9VWM4_DROME"
"TRINITY_DN18976_c0_g1",579.029859223609,0.209018338593007,0.216176336040869,0.00767849195160319,0.0991269306403608,FALSE,"Q9VQR2_DROME"
"TRINITY_DN1899_c0_g1",223.581902494748,0.248458231376741,0.205537946972712,0.00751651531140694,0.098019462242203,FALSE,"SDF2A_DROME"
"TRINITY_DN19268_c0_g1",77.3850993535632,0.237661337898972,0.930513908609729,0.000571245264207228,0.0231334074121735,FALSE,"A0A126GV09_DROME"
"TRINITY_DN19301_c0_g1",38.2968257205628,-0.279385159350023,0.198734523663619,0.00539009350490637,0.0815068886282157,FALSE,"LIMK1_DROME"
"TRINITY_DN19646_c0_g1",14.2720520238173,25.6736799000351,9.01769113492161,1.12654235287673e-06,0.000345703808819942,FALSE,"Q9VH09_DROME"
"TRINITY_DN19686_c0_g1",32.8315232936387,-0.203249099305069,0.261451898669202,0.00153874078527839,0.04036811021708,FALSE,"Q9VHG3_DROME"
"TRINITY_DN19731_c0_g2",181.033125118344,0.234844832919552,0.22050972258334,0.00293305303390754,0.0575074389983431,FALSE,"Q9VED6_DROME"
"TRINITY_DN2006_c1_g2",2131.74685733102,0.382897267303784,0.369575304847866,4.98074922504872e-05,0.00514482779368127,FALSE,"Q0KI34_DROME"
"TRINITY_DN20353_c0_g1",8.80493670276381,0.10618925513672,0.277072724149002,0.00757776833686561,0.0984278110256687,FALSE,"Q9VP35_DROME"
"TRINITY_DN20978_c0_g1",502.786372526239,-0.353336187214521,0.206944629174527,0.000388361314629959,0.0184038296657366,FALSE,"A8JR34_DROME"
"TRINITY_DN21442_c0_g1",17.1570299132996,0.113689947087347,0.407906665479967,0.00331533706472738,0.0616767016007042,FALSE,"M9NCT8_DROME"
"TRINITY_DN21467_c0_g2",121.007334951996,-0.102040012438271,0.367430337074348,0.00479181676317137,0.0757012881933567,FALSE,"A1Z9R1_DROME"
"TRINITY_DN2159_c0_g1",110.763937561494,0.292453295936036,0.203058925415471,0.0026414301215181,0.0545726968095484,FALSE,"Q9VJ64_DROME"
"TRINITY_DN219_c0_g1",370.174331279935,0.288215579787012,0.130262078761897,0.00695354780793635,0.0943156529465291,FALSE,"M9NDY6_DROME"
"TRINITY_DN22708_c0_g1",533.021173922147,0.342665624494417,0.177065320066758,0.00238115717089141,0.0514185450026771,FALSE,"MIO_DROME"
"TRINITY_DN2351_c0_g1",1148.60860833296,-0.337194685449472,0.215362658354166,0.000397285543160859,0.0185420228820268,FALSE,"Q8IMC1_DROME"
"TRINITY_DN2352_c0_g1",320.212598236226,-0.259585887311618,0.206002213622375,0.00525516564924365,0.0801726683399651,TRUE,"Q7KSF5_DROME"
"TRINITY_DN2371_c1_g1",155.326937557433,0.189736568201239,0.275568876388251,0.00160862002073203,0.041357979303202,FALSE,"Q7KUB3_DROME"
"TRINITY_DN24014_c0_g3",14.6341815839371,0.105193688588658,0.401901585660316,0.00406293205862908,0.0692312860056465,FALSE,"A0A0B4KEG4_DROME"
"TRINITY_DN2430_c2_g1",35.6600913815829,-0.279252807724405,0.204241864241486,0.00349921629093744,0.0635969639461916,FALSE,"A0A0B4KH03_DROME"
"TRINITY_DN2455_c0_g1",186.211337032355,-0.25906291443003,0.20391561583907,0.00641243718897505,0.0894825246282964,FALSE,"GALT9_DROME"
"TRINITY_DN24911_c0_g2",14.4694082834649,-0.112748464131394,0.32736749028276,0.00445390216657493,0.072637042208564,FALSE,"Q9U6P7_DROME"
"TRINITY_DN25227_c0_g1",1255.4966226402,-0.14798259973254,0.243955402691615,0.00583067647133817,0.0850917527442367,TRUE,"Q8I0E9_DROME"
"TRINITY_DN2564_c0_g1",254.348915778579,0.261668726665079,0.209959360965424,0.00346560582541404,0.063310239898566,FALSE,"RM35_DROME"
"TRINITY_DN2569_c0_g1",4038.40937098308,0.298212490053102,0.201607865124959,0.00250955630695847,0.0528993094362079,FALSE,"Q9VHX9_DROME"
"TRINITY_DN257_c0_g1",517.595435138242,-0.315319729884634,0.185070724651931,0.00405913104904868,0.0692017708764674,TRUE,"A0A0B4KG15_DROME"
"TRINITY_DN260_c0_g1",279.421956341009,-0.319871859841385,0.213338198586865,0.000646198153078539,0.024674294546032,FALSE,"Q9VZ56_DROME"
"TRINITY_DN2655_c3_g1",570.646513163273,0.203301683924794,0.219934180231182,0.00622726685305484,0.0881862188686839,FALSE,"A0A0B4KGM0_DROME"
"TRINITY_DN2685_c0_g2",2776.25624019286,0.26679700087902,0.210598148789501,0.00286151362443349,0.0568715206320117,FALSE,"Q9VED6_DROME"
"TRINITY_DN275_c3_g1",204.027369958577,-0.14026327177117,0.245269242848632,0.00652699268679674,0.0906273882858714,FALSE,"Q8IPH0_DROME"
"TRINITY_DN2782_c21_g1",14.5539673366296,-0.209416263424557,0.265059226223018,0.00131877276999546,0.0369720967179721,FALSE,"Q8MS37_DROME"
"TRINITY_DN2786_c0_g1",276.767869881092,0.301105007869535,0.215916825198043,0.000876601890842672,0.0292799372870801,TRUE,"Q7JWF1_DROME"
"TRINITY_DN2817_c0_g2",554.453583589385,-0.325455549066189,0.168756267287799,0.004390530303692,0.0720942643961413,TRUE,"Q9W321_DROME"
"TRINITY_DN2870_c0_g1",648.824503290872,-0.342111291103595,0.18731585002157,0.00168316788453542,0.0423628913241725,FALSE,"M9PC47_DROME"
"TRINITY_DN28744_c0_g1",368.16393077588,0.203470254078862,0.225852698075417,0.00411508523119214,0.069658646709588,FALSE,"Q9W2U8_DROME"
"TRINITY_DN296_c0_g2",760.902591864737,-0.27905331711222,0.215482347656436,0.00148636015045683,0.0397498869440739,FALSE,"X2J909_DROME"
"TRINITY_DN30180_c0_g1",99.734847630843,-0.284120361744804,0.199011706202265,0.00461112948155966,0.0740459289624047,FALSE,"Q0KHU2_DROME"
"TRINITY_DN3052_c1_g1",150.655250859369,-0.304060684667376,0.258884771839399,0.000296210470895984,0.0158273866469645,FALSE,"Q9VL81_DROME"
"TRINITY_DN3107_c0_g2",733.271747502702,-0.376727321896783,0.172980928455128,0.000936182361062767,0.0302970438376428,FALSE,"A0A0B4KEU5_DROME"
"TRINITY_DN3127_c0_g1",359.933155874426,0.342891296709954,0.145578089257867,0.00226734955765841,0.0497591963990769,TRUE,"Q9W3V2_DROME"
"TRINITY_DN3154_c0_g2",91.8282127256303,0.279951321364357,0.199738310454175,0.00492788687769023,0.077001287356063,FALSE,"PIGB_DROME"
"TRINITY_DN31836_c0_g1",52.1503690383546,0.263534381458365,0.203776875174056,0.00571169532493216,0.0842644995215339,FALSE,"CC130_DROME"
"TRINITY_DN32760_c0_g1",154.75553864499,-0.305968924231149,0.197561037457092,0.00270516577302649,0.055269208597944,FALSE,"A0A0B4LHX1_DROME"
"TRINITY_DN3313_c0_g1",1745.77025932775,0.248501174265727,0.216226495539273,0.00289051675532236,0.0572777813677592,FALSE,"ATPO_DROME"
"TRINITY_DN33306_c0_g2",20.6754328066857,0.128252701601477,0.315344355989224,0.00346524228856305,0.063310239898566,FALSE,"Q9VST4_DROME"
"TRINITY_DN3385_c0_g1",168.767916731486,0.250387418700507,0.212044168863294,0.0038870440972201,0.0675416820820339,FALSE,"Q9VES8_DROME"
"TRINITY_DN34096_c0_g1",8.93945549855956,26.9652683450782,7.25524407016612,4.06772948138832e-07,0.000175288630160683,FALSE,"A1Z8D3_DROME"
"TRINITY_DN3465_c0_g1",248.531676694075,0.294664312712643,0.195335270395027,0.00437033976058878,0.0719052228817986,FALSE,"Y8611_DROME"
"TRINITY_DN3495_c0_g1",82.3952658890915,0.259223511287207,0.261387460057211,0.000608493984257754,0.0239725063083619,FALSE,"Q9VHX4_DROME"
"TRINITY_DN37435_c1_g1",2.19202871840436,0.0992636586048595,0.380382810589024,0.00492279642743245,0.0769811209449219,FALSE,"X2J8Z1_DROME"
"TRINITY_DN3823_c0_g1",252.598246726499,0.290075391957334,0.195278154506496,0.00500258679450489,0.0776480397630598,TRUE,"A1ZA22_DROME"
"TRINITY_DN3928_c0_g1",1520.85798067198,0.308661527916066,0.16059587853528,0.00698584138784097,0.0945970205304118,FALSE,"Q9VMC6_DROME"
"TRINITY_DN3931_c3_g1",18.3493698080333,0.164802887972346,0.265692476575241,0.00280242928632989,0.0562154329768409,TRUE,"Q9XZS9_DROME"
"TRINITY_DN393_c10_g1",10.7457957991788,-0.162912970649605,0.468773122712466,0.00117276467151571,0.0346569377822953,FALSE,"Q9W369_DROME"
"TRINITY_DN3972_c0_g3",8.11950286626541,-0.128871065141576,0.347298998266932,0.00290352842915744,0.0573656954677419,FALSE,"X2JC90_DROME"
"TRINITY_DN40091_c0_g1",326.859474979828,-0.639552895094982,2.65520676253284,0.000478887942747402,0.0207491227939869,FALSE,"NU1M_DROME"
"TRINITY_DN4036_c0_g1",90.3290285704056,-0.284214408965723,0.413277536947366,0.000200538439892123,0.012064406971136,TRUE,"D2MP_DROME"
"TRINITY_DN4124_c0_g1",319.821992572706,0.337085002531595,0.203443583858456,0.000726725714636422,0.0265373891144909,FALSE,"RIR2_DROME"
"TRINITY_DN4185_c0_g1",466.202606204811,-0.278628737687079,0.194624907443751,0.00717752768051862,0.0955209901373861,FALSE,"CTLH2_DROME"
"TRINITY_DN44315_c0_g1",4.19958179066709,0.11235637568491,0.275615337495651,0.00674274284045415,0.0925094361240159,FALSE,"Q8SYL1_DROME"
"TRINITY_DN4440_c0_g1",209.408801834747,0.260728930657874,0.729207484711946,0.000313144931016235,0.0162898674923204,TRUE,"X2JJC8_DROME"
"TRINITY_DN447037_c0_g1",8450.17164303966,-16.1983837539689,4.59163921518001,5.82076855487667e-07,0.000226394055107058,FALSE,"COX1_DROME"
"TRINITY_DN448043_c0_g1",13.7088561778777,25.5810377448302,9.12634874309175,1.18519586915563e-06,0.000360396514794424,FALSE,"Q9W457_DROME"
"TRINITY_DN4499_c0_g2",1968.1356898763,0.239850090041831,0.208408533746193,0.00732374592429077,0.0965597073005921,FALSE,"X2JC54_DROME"
"TRINITY_DN45488_c0_g1",468.43278324493,11.3059260507454,7.99352197242086,8.24108737908454e-06,0.00147409696119251,FALSE,"CYB_DROME"
"TRINITY_DN4699_c0_g1",128.559283097862,-0.323033311192647,0.177758691500167,0.00408617755982646,0.0694041065632914,FALSE,"Q9XZ19_DROME"
