"genes","baseMean","log2FoldChange","lfcSE","pvalue","padj","isDescendant","swiss_prot","fly"
"TRINITY_DN10340_c0_g2",30553.6147104935,0.196084595018316,0.216776384499525,0.00774552113124874,0.0997165289281695,TRUE,"ADT_DROME","X2JB48_DROME"
"TRINITY_DN106160_c0_g1",77.2776379344211,-2.93582998836542,5.25101297542665,6.09178431144935e-05,0.00582863442273497,FALSE,"NU1M_ANOGA","NU1M_DROME"
"TRINITY_DN10761_c0_g1",237.899889141784,-0.188733877536117,0.233016770460193,0.00344994806923407,0.0633686003897817,TRUE,"ERCC2_MOUSE","Q7KVP9_DROME"
"TRINITY_DN11109_c1_g1",10398.0237105842,0.243151630846086,0.206451593519316,0.00629296915574202,0.0891756355541179,FALSE,"RS12_BOVIN","RS12_DROME"
"TRINITY_DN11231_c0_g1",158.959962318632,-0.304142474326318,0.456652823418482,0.000140907660523825,0.00966562074842454,FALSE,"NOCT_DROME","NOCT_DROME"
"TRINITY_DN11306_c0_g1",260.733841664787,0.287642190055231,0.206166878150134,0.00192968686155436,0.0456578611924917,FALSE,"ASND1_BOVIN","ASND1_DROME"
"TRINITY_DN1159_c2_g2",60.8410619160429,-0.124448237410077,0.403693690766761,0.00256617683241338,0.0538270825157738,TRUE,"DHX9_MOUSE","GAR1_DROME"
"TRINITY_DN116068_c0_g1",39.538637411201,-0.124485931106644,0.375060021097806,0.00275628397085479,0.0559507475700183,FALSE,"OTOP_DROME","OTOP_DROME"
"TRINITY_DN117538_c0_g1",2963.29725253696,-13.0492970582366,6.44776913407795,3.28800307837433e-06,0.000752195754598743,FALSE,"COX1_DROMA","COX1_DROME"
"TRINITY_DN117845_c0_g1",941.682599264074,-5.50939188124201,7.18293789510899,3.29479101454284e-05,0.00393984448307902,FALSE,"COX1_DROYA","COX1_DROME"
"TRINITY_DN1217_c0_g2",260.851316257357,-0.197823563623141,0.327096532645387,0.000901440033477238,0.0294992579755847,FALSE,"NOS_DROME","NOS_DROME"
"TRINITY_DN12200_c0_g1",26.9704937189948,-0.158892713312491,0.458413724539607,0.00122615226176438,0.0354524294297992,FALSE,"NAAT1_DROPE","NAAT1_DROME"
"TRINITY_DN1249_c1_g1",4277.3288515036,0.144600619259772,0.235690537441545,0.00725044926501202,0.0962741652809966,TRUE,"ADAT1_MOUSE","Q9VIU8_DROME"
"TRINITY_DN13010_c0_g1",67.984777623758,-0.301141207753828,0.193095762735567,0.00348910411264039,0.0637277551280022,FALSE,"PEX13_HUMAN","Q7JRD4_DROME"
"TRINITY_DN13166_c0_g1",74.4346233489916,0.299956695736967,0.2067783053168,0.00133629925298972,0.0369825761060228,FALSE,"PPCT_HUMAN","Q9VJZ2_DROME"
"TRINITY_DN13170_c0_g1",28.6569045210367,-0.282625277282728,0.263781844822765,0.000373458491477952,0.017831241096858,FALSE,"SY65_DROME","SY65_DROME"
"TRINITY_DN13316_c0_g1",932.020398195428,11.4332979674359,13.9483087068028,2.8052005588205e-05,0.00361144018501753,FALSE,"COX1_AEDAE","COX1_DROME"
"TRINITY_DN13447_c0_g1",46.9369392975906,-0.180688468536572,0.23467004552488,0.00377998846508598,0.0667776962229273,FALSE,"SO74D_DROME","Q9W269_DROME"
"TRINITY_DN13454_c0_g1",36.1360282092612,0.317210042717195,0.205607323068094,0.000924955733315473,0.0299517997593673,TRUE,"GEN_HUMAN","GEN_DROME"
"TRINITY_DN136044_c0_g1",29.6481313003061,-0.249457722093131,0.630095695876991,0.000314306862969922,0.0161660893845516,FALSE,"AMPN_BOVIN","Q0KI00_DROME"
"TRINITY_DN14125_c1_g1",39.0578855264536,-0.200687811989034,0.245709162954928,0.00196310692190848,0.0460147690034145,FALSE,"CHS2_CAEEL","Q9VNW7_DROME"
"TRINITY_DN14341_c0_g1",25.7985045933527,-0.154522700457021,0.242924279006356,0.00480538040826327,0.0760264180439729,FALSE,"ZN423_RAT","A0A0B4JD76_DROME"
"TRINITY_DN15094_c0_g1",58.9418015310934,0.275346408648354,0.205964205648962,0.0027258561790676,0.055692058380253,FALSE,"ZGPAT_ANOGA","ZGPAT_DROME"
"TRINITY_DN1524_c0_g2",126.409738631716,0.271684630451409,0.198826579145932,0.00544783165220489,0.0821411089181903,FALSE,"ALKB6_XENLA","Q9VKU5_DROME"
"TRINITY_DN15818_c0_g1",185.553437534223,0.253682561627326,0.219891784907947,0.0017341456303875,0.0429805899459799,FALSE,"TTD14_DROME","TTD14_DROME"
"TRINITY_DN1582_c0_g1",37.5691903068951,0.231010092892546,0.210140200026214,0.00610848198322386,0.0876946359298129,FALSE,"MCCB_MOUSE","MCCB_DROME"
"TRINITY_DN1585_c0_g1",571.819715021654,0.275045176702049,0.204436099974302,0.00312822737930327,0.0595299236591649,FALSE,"PUR2_CHICK","X2J516_DROME"
