"genes","baseMean","log2FoldChange","lfcSE","pvalue","padj","isDescendant","swiss_prot"
"TRINITY_DN10004_c0_g1",22.0890831238049,0.833813580788177,0.524239827019819,0.00198787634112223,0.0652742614129085,FALSE,"ZN225_HUMAN"
"TRINITY_DN1004_c8_g2",340.460564817458,-0.751715313482751,0.260111526919426,0.0008825128113384,0.0417939892483866,FALSE,"SRPK1_MOUSE"
"TRINITY_DN10080_c0_g1",5898.63871135074,0.755697441635365,0.333126719168194,0.00414893449370703,0.0982361504662421,FALSE,"RS15_CHICK"
"TRINITY_DN10093_c0_g1",93.9687919946487,-0.946086760014278,0.564484063445405,0.000506313938636141,0.0306318359494074,FALSE,"AP21_ORYSI"
"TRINITY_DN10095_c2_g1",44.4880881450994,-0.994330761271309,0.569594570098652,0.000332761534634996,0.0241517284580559,FALSE,"TENM_DROME"
"TRINITY_DN10102_c0_g1",422.747838816772,-0.675820266979592,0.26572372005312,0.00321949948669357,0.0855113118779534,FALSE,"TRC_DROME"
"TRINITY_DN10148_c0_g1",44.3420593313356,-17.380312145764,5.27642397825443,4.5372736496022e-07,0.000277783878079796,FALSE,"Y0170_DICDI"
"TRINITY_DN10191_c0_g1",44.1336748450209,0.898068203367459,0.35268506090069,0.000982024019987727,0.0443592325761881,FALSE,"TMG10_ARCFU"
"TRINITY_DN10195_c0_g1",83.5502945072548,0.813103300684291,0.391758339905866,0.00392394416256875,0.0955114656780046,FALSE,"GRPE_DROME"
"TRINITY_DN10264_c0_g1",1007.43461098721,0.746726363195275,0.281701031380895,0.00176577628078665,0.0612017480925166,TRUE,"RHEB_DROME"
"TRINITY_DN1056_c0_g1",1405.3075199541,0.501222471138601,0.155497079752437,0.000714955164645048,0.0372750442249036,FALSE,"WAC_DROME"
"TRINITY_DN10598_c0_g1",39.5669470270869,-0.967858930906501,0.456457256958055,0.000914557194151652,0.0426264554053911,FALSE,"H6ST2_HUMAN"
