"genes","baseMean","log2FoldChange","lfcSE","pvalue","padj","isDescendant","swiss_prot","fly"
"TRINITY_DN10022_c0_g1",863.103343817237,0.292801075760986,0.123510262840722,0.00382446831191186,0.0673390187433474,FALSE,"PA2G4_HUMAN","Q9VRP2_DROME"
"TRINITY_DN10080_c0_g1",5905.92993911922,-0.337178219648009,0.203442215152697,0.0051946313497092,0.0797849006964844,FALSE,"RS15_CHICK","A1ZAH8_DROME"
"TRINITY_DN10320_c0_g1",13730.5790273883,-0.385609227257636,0.186408956442721,0.00181364431688909,0.0438904685180792,FALSE,"RL5_HUMAN","R9Q794_DROME"
"TRINITY_DN1056_c0_g1",1406.00735576957,-0.247573501530277,0.110946356372626,0.00728388049274555,0.0964342799298179,FALSE,"WAC_DROME","WAC_DROME"
"TRINITY_DN105_c0_g1",1138.87527543336,1.35440198273718,0.846850033317044,1.70870582448396e-06,0.00045659778582156,TRUE,"ENPL_PIG","Q9VAY2_DROME"
"TRINITY_DN1070_c1_g1",1071.50675818243,-0.320280843881358,0.220014624942791,0.00596210046859197,0.0865307315384556,FALSE,"PTHD3_MOUSE","Q86P36_DROME"
"TRINITY_DN108109_c0_g1",7303.01816871375,-0.44595834186833,0.205561224225936,0.000499142049049554,0.0212479491535834,FALSE,"RS8_APIME","A0A0B4K6N1_DROME"
"TRINITY_DN108109_c0_g2",1011.05758356042,-0.326676931859644,0.194506390912822,0.00659297917859692,0.0914925406315338,FALSE,"RS8_APIME","A0A0B4K6N1_DROME"
"TRINITY_DN1089_c0_g2",7567.09906032982,-0.368998812479335,0.179507628390249,0.0024832222417405,0.0527481523481003,FALSE,"IF4A1_BOVIN","C9QP42_DROME"
"TRINITY_DN11109_c0_g1",6133.08553135994,-0.361590620585614,0.215733103024237,0.00289940650302744,0.0572182327002392,FALSE,"RS17_CANLF","RS17_DROME"
"TRINITY_DN1128_c0_g2",7119.33114738557,-0.389358075880623,0.224176488025614,0.00152653185197668,0.0402280650809366,FALSE,"RL32_SPOFR","RL32_DROME"
"TRINITY_DN11413_c0_g1",11701.3624908375,-0.423561315395819,0.193439454024253,0.000793030608880355,0.0273182405635802,TRUE,"GBLP_DANRE","M9PCC1_DROME"
"TRINITY_DN1156_c0_g1",1163.27852112606,-0.314559242447654,0.14636422159086,0.00478383825535695,0.0759846516893584,TRUE,"BRC1_DROME","SSRP1_DROME"
"TRINITY_DN117538_c0_g1",2963.29725253696,15.689750381811,2.55312244380363,3.58460496164691e-10,1.03624411977646e-06,FALSE,"COX1_DROMA","COX1_DROME"
"TRINITY_DN117845_c0_g1",941.682599264074,14.5247696273876,2.64994180906302,1.40812086721543e-08,1.21018474206982e-05,FALSE,"COX1_DROYA","COX1_DROME"
"TRINITY_DN12606_c0_g1",4017.48252397466,-0.341995504395468,0.224832050556819,0.00370205870939173,0.0660615964646171,FALSE,"RL371_DROME","M9PH59_DROME"
"TRINITY_DN1282_c0_g2",13949.6913407626,-0.330020048453926,0.200589033017556,0.00607178231389024,0.0874648082621019,FALSE,"RS4_SPOFR","X2JGM9_DROME"
"TRINITY_DN1305_c0_g1",4025.11266998457,-0.379596800379571,0.233780159664653,0.00160399686285605,0.0413014421233069,FALSE,"PEPD_HUMAN","Q9VG79_DROME"
"TRINITY_DN13316_c0_g1",932.020398195428,-26.1032455307369,5.10634652884992,1.62267893605186e-08,1.35788335493455e-05,FALSE,"COX1_AEDAE","COX1_DROME"
"TRINITY_DN13791_c0_g1",8574.29798025962,-0.32178190562259,0.199768661700292,0.00716964278761502,0.0957528227649601,FALSE,"RL40_DROME","Q9W418_DROME"
"TRINITY_DN144_c1_g1",1053.36691365501,-0.387961805099812,0.245758331754517,0.00113934994251651,0.0342223156870989,FALSE,"ZC21C_MOUSE","C9QPD4_DROME"
"TRINITY_DN14649_c0_g1",7519.24787227753,-0.336878593879674,0.187321056464134,0.00529227554083372,0.080765705688276,FALSE,"RL21_HUMAN","Q9V9M7_DROME"
