"genes","baseMean","log2FoldChange","lfcSE","pvalue","padj","isDescendant","swiss_prot"
"TRINITY_DN1004_c8_g2",340.759875572933,-0.806196820946221,0.197710761466063,1.16143861783863e-05,0.00398648088098936,FALSE,"SRPK1_MOUSE"
"TRINITY_DN10056_c0_g1",290.095114897585,0.869066685941505,0.255091875079576,0.00011979259237425,0.0186944719674613,TRUE,"SEM1_BOVIN"
"TRINITY_DN1008_c0_g1",1693.04946995238,-0.919781430260523,0.315058749404262,0.000429758487689313,0.0396747766765193,TRUE,"RUSC2_MOUSE"
"TRINITY_DN10093_c0_g1",93.7334016165748,-1.61320961547893,0.750988873702841,1.20690014143964e-05,0.00403895837333561,FALSE,"AP21_ORYSI"
"TRINITY_DN10095_c2_g1",44.4865029818301,-1.82359396149893,0.799013683855074,3.30265111665328e-06,0.00163740821370338,FALSE,"TENM_DROME"
"TRINITY_DN10107_c0_g1",205.877288513387,0.639922844540776,0.190025015408839,0.000316826103689245,0.0333653336259314,FALSE,"PSME3_PONAB"
"TRINITY_DN10120_c0_g2",58.1200943252578,0.627685798748995,0.199157859638416,0.000691568391254679,0.0521183608692719,FALSE,"NSUN5_MOUSE"
"TRINITY_DN10148_c0_g1",44.5054756090721,-21.1286245165046,2.85594209668719,7.52550063842368e-14,1.63844093118657e-09,FALSE,"Y0170_DICDI"
"TRINITY_DN10195_c0_g1",83.5836362252573,0.952188531783997,0.310432637927812,0.00023632533387649,0.0278314876488082,FALSE,"GRPE_DROME"
"TRINITY_DN1026_c1_g1",46.8709948241526,-1.03394428229589,0.543649409602577,0.000809901075894581,0.0568942519063997,FALSE,"KNOB_PLAFN"
"TRINITY_DN1032_c0_g1",463.190426605981,-0.832655210309712,0.303334797919258,0.00108505466411554,0.0667191837218075,FALSE,"VA52_DOLMA"
"TRINITY_DN10347_c0_g1",375.532748763531,-0.79855690199059,0.311691567256979,0.00205078375561987,0.0952946436360962,FALSE,"ADRL_DROME"
"TRINITY_DN10366_c0_g1",228.313050179446,0.76395094155258,0.24241195700485,0.00043533338951159,0.0399096698922959,FALSE,"XPO2_ORENI"
"TRINITY_DN10385_c0_g1",13.5226594403173,8.11866822214342,8.50506583550703,2.47886911113618e-05,0.00680383493718266,FALSE,"SOX14_DROME"
"TRINITY_DN103_c0_g1",67.3763708999464,0.999770252790427,0.280390374833486,3.67719573957421e-05,0.00886286158087164,FALSE,"LSM6_HUMAN"
"TRINITY_DN10435_c0_g1",54.0521417660997,0.915767587651934,0.317092673359219,0.000478726148301163,0.0420678420442968,TRUE,"DNAJ_GEOSE"
"TRINITY_DN10461_c0_g1",94.6171627653322,1.01464251432877,0.272745234006343,1.951014673277e-05,0.00571898889970121,FALSE,"SMD1_DROME"
"TRINITY_DN10514_c0_g1",242.32446352502,-0.626755744781488,0.209185588561805,0.00115166740935692,0.0686872687176654,FALSE,"VIT2_CHICK"
"TRINITY_DN1051_c0_g2",197.467707112777,0.7247570980827,0.230245327406394,0.000509723956686672,0.0438952847789732,FALSE,"PAIP1_HUMAN"
"TRINITY_DN1052_c0_g1",191.168960146612,1.04507126311981,0.407296000761549,0.00041585411015998,0.0389886690860963,FALSE,"FH16_ORYSJ"
"TRINITY_DN1058_c0_g1",589.514309642493,0.644456579867647,0.171301009540361,7.11625949260929e-05,0.0133971441236138,FALSE,"EMC10_BOVIN"
"TRINITY_DN10591_c2_g1",92.817765455082,0.996745220981648,0.339680274647139,0.000262115934887165,0.0296235266148838,FALSE,"ABHDB_MOUSE"
