"genes","baseMean","log2FoldChange","lfcSE","pvalue","padj","isDescendant","swiss_prot"
"TRINITY_DN1004_c8_g2",340.460564817458,-0.784458927381979,0.198387899454072,2.00121529503805e-05,0.00424414600610423,FALSE,"SRPK1_MOUSE"
"TRINITY_DN10056_c0_g1",289.894809674219,0.884355621819942,0.256042276586369,9.00891073379886e-05,0.011115546637028,TRUE,"SEM1_BOVIN"
"TRINITY_DN1008_c0_g1",1690.67045469716,-0.900929337195865,0.31796586930041,0.000576338550462658,0.033079657934102,TRUE,"RUSC2_MOUSE"
"TRINITY_DN1008_c6_g1",11.0826984366545,0.883699428955481,0.42433948098759,0.00279610121916391,0.0789166938469966,FALSE,"ZIC5_HUMAN"
"TRINITY_DN10093_c0_g1",93.9687919946487,-1.55994646576951,0.729203881529711,1.43200981640809e-05,0.00335611362486719,FALSE,"AP21_ORYSI"
"TRINITY_DN10095_c2_g1",44.4880881450994,-1.76766374790688,0.783234518159753,3.76816005223759e-06,0.00129614053754423,FALSE,"TENM_DROME"
"TRINITY_DN10100_c0_g1",32.2140680762277,-1.13996560740292,0.541111467844355,0.000293263004468882,0.0223804760742416,FALSE,"SKDA1_HUMAN"
"TRINITY_DN10107_c0_g1",205.952240049143,0.654982902346344,0.193944854375765,0.00028384662655771,0.021970130188109,FALSE,"PSME3_PONAB"
"TRINITY_DN10120_c0_g2",58.10883610956,0.644179169546443,0.200444725509413,0.000518395873546128,0.031116979451703,FALSE,"NSUN5_MOUSE"
"TRINITY_DN10122_c0_g2",75.4647991239408,0.769518183681071,0.291558327817961,0.00185552210245381,0.0629700494283495,TRUE,"EXOS5_HUMAN"
"TRINITY_DN10135_c0_g1",141.640263926483,0.71241608786945,0.294215475091898,0.00415197139411233,0.0982663514195164,FALSE,"MCAT_HUMAN"
"TRINITY_DN10148_c0_g1",44.3420593313356,-21.1488878830615,2.85658635307603,7.46872894870842e-14,1.21172658463845e-09,FALSE,"Y0170_DICDI"
"TRINITY_DN10195_c0_g1",83.5502945072548,0.963154449657833,0.312548264608164,0.000204066505480277,0.0180587726449746,FALSE,"GRPE_DROME"
"TRINITY_DN10207_c0_g1",26.9787994523754,0.859250260984391,0.353449077808572,0.001911710180971,0.0640809424280177,TRUE,"DPOE3_RAT"
"TRINITY_DN1026_c1_g1",46.7789135192092,-1.02666715661028,0.535634876930192,0.000817047669659836,0.0402503483579793,FALSE,"KNOB_PLAFN"
"TRINITY_DN1032_c0_g1",463.807876028094,-0.807454994031094,0.306789497122032,0.00158180235111098,0.0575407205031941,FALSE,"VA52_DOLMA"
"TRINITY_DN10347_c0_g1",376.216711321398,-0.779491139025387,0.314120649225758,0.00263198646363631,0.0763660477842661,FALSE,"ADRL_DROME"
"TRINITY_DN10366_c0_g1",228.761006883134,0.774546585865632,0.246997390235348,0.000420667449447824,0.02753830006661,FALSE,"XPO2_ORENI"
"TRINITY_DN10385_c0_g1",13.5601934249624,7.33491880798329,8.4059482126069,2.48967003799566e-05,0.00491591156548985,FALSE,"SOX14_DROME"
"TRINITY_DN103_c0_g1",67.4558552831139,1.01465628543818,0.283999311620851,3.14920373396088e-05,0.00578964439239511,FALSE,"LSM6_HUMAN"
"TRINITY_DN10408_c1_g1",13.9974005820757,-0.961778651669714,0.493309405250503,0.00149474537038309,0.0557289867297081,FALSE,"BZPN_DICDI"
"TRINITY_DN1040_c0_g1",4968.96852794005,-0.778192648364534,0.339268845039158,0.00402501798556247,0.0969110439739285,FALSE,"MCATL_BOVIN"
"TRINITY_DN10435_c0_g1",54.110065931676,0.929097421671074,0.318846235202095,0.000397029196035876,0.0266320979802652,TRUE,"DNAJ_GEOSE"
"TRINITY_DN10461_c0_g1",94.6876289153967,1.0302928679108,0.275706139188272,1.60151793448383e-05,0.00360041944144096,FALSE,"SMD1_DROME"
"TRINITY_DN10514_c0_g1",242.337153342489,-0.605742475468499,0.210750604781267,0.00174999211398929,0.060948562556055,FALSE,"VIT2_CHICK"
"TRINITY_DN1051_c0_g2",197.640645940798,0.740916887639773,0.233238180699191,0.000419697550402681,0.0274932963300125,FALSE,"PAIP1_HUMAN"
"TRINITY_DN1052_c0_g1",191.249466874305,1.05340652137683,0.409161112398577,0.000378940274297363,0.0259041868407321,FALSE,"FH16_ORYSJ"
"TRINITY_DN10565_c0_g1",142.783549496437,0.602914811096724,0.2260371139221,0.00325460899485631,0.086042543774331,FALSE,"SYEM_HUMAN"
"TRINITY_DN10578_c0_g1",75.1550119252059,0.809914101666725,0.329053079320142,0.00236189396098308,0.0721796453997716,FALSE,"LLPH_DANRE"
"TRINITY_DN1058_c0_g1",589.073074718065,0.662458500322746,0.171180522481385,4.25467371411288e-05,0.00696078921053116,FALSE,"EMC10_BOVIN"
"TRINITY_DN10591_c2_g1",92.8244438170036,1.01003864311288,0.341745986885706,0.000220724271874139,0.0188310109739844,FALSE,"ABHDB_MOUSE"
"TRINITY_DN10600_c0_g1",49.4261772911285,-1.05810209906706,0.427109537870257,0.00042592218835099,0.0277516529470139,TRUE,"METRL_DANRE"
"TRINITY_DN10619_c0_g1",71.8145969579122,-1.53868888251869,0.631267355397242,9.38552456962766e-06,0.00242340717163351,FALSE,"CAD86_DROME"
"TRINITY_DN10635_c0_g1",335.609021263676,-0.673668685100189,0.242307232814256,0.0018478404325347,0.0628498179820608,TRUE,"GIT2_MOUSE"
"TRINITY_DN10635_c2_g1",9.39898399038035,-0.970796460066089,0.633982633396088,0.00100764007635676,0.0448708671513596,TRUE,"MLX56_MORAL"
"TRINITY_DN10667_c0_g1",855.194230961508,-0.993706532475621,0.231468381273255,2.01201402768701e-06,0.000838418035510034,FALSE,"PKHA7_DANRE"
"TRINITY_DN1069_c1_g1",711.066367610132,0.782596951676265,0.253948968767283,0.000484199821244016,0.029907327029935,FALSE,"CHMP5_XENLA"
"TRINITY_DN1069_c2_g1",174.143286269325,0.899961468016493,0.4494548682339,0.00259016603887893,0.0757291191677226,TRUE,"SPRTN_BOVIN"
"TRINITY_DN1071_c0_g1",586.506911548182,1.14652902109764,0.27430734394465,1.50819801108269e-06,0.000673458840324923,FALSE,"HDA11_MOUSE"
"TRINITY_DN10731_c0_g1",90.6140163640659,0.680514000173931,0.236153509352864,0.00133374510391476,0.0523727645806691,FALSE,"Y3961_DICDI"
"TRINITY_DN10744_c0_g1",838.693301554738,0.732650190305683,0.298261351949095,0.00348614202112852,0.0895395801859457,FALSE,"P53_HUMAN"
"TRINITY_DN10745_c0_g1",68.3201119137794,0.838760034703899,0.293520517781711,0.000739952992553292,0.0379155214081811,FALSE,"ACL6B_HUMAN"
"TRINITY_DN10748_c0_g2",52.6312361231917,-1.70213260847257,0.570635001009889,7.67044205789138e-07,0.000417134922728144,FALSE,"PLRX2_ARATH"
"TRINITY_DN10763_c0_g1",84.9896638051704,-1.18215905927066,0.544163689262258,0.000197946513718867,0.0177266839295762,FALSE,"TRET1_APILI"
"TRINITY_DN10793_c0_g1",3169.2970061114,-0.583685597243168,0.172651562641224,0.000346003247085501,0.0247293245846483,FALSE,"ITBX_DROME"
"TRINITY_DN107_c0_g2",543.381240597314,0.543078076531621,0.189628363919944,0.00216336669015061,0.0685963410703651,FALSE,"WDR44_BOVIN"
"TRINITY_DN1080_c0_g2",316.858697427066,0.789761697141299,0.291150399388945,0.00139131477913931,0.0535655223429803,FALSE,"IDH3B_RAT"
"TRINITY_DN10839_c0_g1",33.8533108729953,-1.58847133594992,0.596952624540335,4.09844768685591e-06,0.00136629894393597,FALSE,"S35G1_HUMAN"
"TRINITY_DN10852_c0_g1",34.103178768587,-0.963848737434975,0.433087293182752,0.00126474361909858,0.0508986812178202,FALSE,"A2MG_PONAB"
"TRINITY_DN10888_c0_g1",1025.27289406258,1.08352228101695,0.361872186845506,0.000123136085721316,0.013714598545144,FALSE,"QCR7_BOVIN"
"TRINITY_DN10903_c0_g1",55.2290696835834,0.862325513528193,0.312136539655482,0.000853680559847344,0.0413230633604077,FALSE,"WDR34_HUMAN"
"TRINITY_DN1090_c0_g2",664.400528504997,-0.745217978000962,0.223268884716558,0.000239121529548034,0.0198949112583964,TRUE,"SZT2_HUMAN"
"TRINITY_DN10913_c0_g1",1291.15852181965,-0.884999966254786,0.261507621273435,0.00011443586195981,0.0131674285420989,FALSE,"ZCRB1_HUMAN"
"TRINITY_DN109149_c0_g1",30.2328309375232,-0.3979492758912,0.886976007494694,0.00419908395711069,0.0988768119908606,FALSE,"EF1A_SPOFR"
"TRINITY_DN1092_c0_g1",299.863872158996,-0.90216958242956,0.405103159614772,0.00205003709684529,0.0664678416363681,FALSE,"DMDA_DROME"
"TRINITY_DN10943_c0_g1",246.046481067581,0.799940076193121,0.286735421882929,0.00107381316282525,0.0463923081662063,FALSE,"OSTC_BOVIN"
"TRINITY_DN10977_c0_g3",93.389261671337,0.752976712601169,0.279796693437967,0.00173730181027679,0.0606991994633042,FALSE,"RCC1_HUMAN"
"TRINITY_DN10982_c0_g1",134.825771406268,0.984258792191812,0.466312267173069,0.00116337023921677,0.0485830598740099,FALSE,"ACSL4_HUMAN"
"TRINITY_DN10998_c0_g1",55.9543626707993,0.692326609320562,0.265842432239406,0.00282317761844315,0.0793816874898123,FALSE,"GPKOW_HUMAN"
