"genes","baseMean","log2FoldChange","lfcSE","pvalue","padj","isDescendant","swiss_prot","fly"
"TRINITY_DN106160_c0_g1",77.5558419523,-3.44947166395482,5.57348463898754,5.3228764512726e-05,0.00601742842126772,FALSE,"NU1M_ANOGA","NU1M_DROME"
"TRINITY_DN10742_c0_g2",9.61402511608963,20.8224160814617,6.04116417055131,7.24209023805614e-07,0.000293230755761293,TRUE,"ACN2_ACAGO","Q9VNN3_DROME"
"TRINITY_DN10744_c0_g1",837.403189396474,0.248152519779673,0.204441355485806,0.00615947672942559,0.0978806714551892,FALSE,"P53_HUMAN","Q8T8Y5_DROME"
"TRINITY_DN10761_c0_g1",237.773290300331,-0.187607908234905,0.233839488943717,0.0034325756599895,0.0706455405541407,TRUE,"ERCC2_MOUSE","Q7KVP9_DROME"
"TRINITY_DN11109_c1_g1",10407.2434526325,0.240496108912273,0.20635936352306,0.00635652686380877,0.0991398619752928,FALSE,"RS12_BOVIN","RS12_DROME"
"TRINITY_DN11231_c0_g1",158.815332397841,-0.307894464027221,0.472287262698866,0.000141002483463651,0.0109106645060403,FALSE,"NOCT_DROME","NOCT_DROME"
"TRINITY_DN11306_c0_g1",260.673862273568,0.285779579778495,0.206436379373417,0.00191419309326358,0.0508109479440586,FALSE,"ASND1_BOVIN","ASND1_DROME"
"TRINITY_DN1159_c2_g2",60.7667781391948,-0.125517136111549,0.41515606669098,0.00257092213963021,0.0596892658994519,TRUE,"DHX9_MOUSE","GAR1_DROME"
"TRINITY_DN116068_c0_g1",39.5345271922824,-0.12553253366823,0.386183945326339,0.00273389406286087,0.0615742913198713,FALSE,"OTOP_DROME","OTOP_DROME"
"TRINITY_DN117538_c0_g1",2967.86289139736,-13.1959875460164,6.3252970833291,3.33219310289344e-06,0.000842174664476508,FALSE,"COX1_DROMA","COX1_DROME"
"TRINITY_DN117845_c0_g1",943.258343846208,-6.1266038498048,7.35501921682765,3.00718615714202e-05,0.00417220792711173,FALSE,"COX1_DROYA","COX1_DROME"
"TRINITY_DN1217_c0_g2",260.768884445814,-0.197457022353489,0.333843342870199,0.000913631349012514,0.0335244109897341,FALSE,"NOS_DROME","NOS_DROME"
"TRINITY_DN12200_c0_g1",26.9754584034501,-0.161962444025612,0.476712323854062,0.00120292010136936,0.0393521986645954,FALSE,"NAAT1_DROPE","NAAT1_DROME"
"TRINITY_DN13010_c0_g1",67.9649638434539,-0.299239552661856,0.193051495737611,0.00350639654209038,0.0714973354522848,FALSE,"PEX13_HUMAN","Q7JRD4_DROME"
"TRINITY_DN13166_c0_g1",74.4330640350437,0.298325476663511,0.207161234458339,0.00132293457557017,0.0413276513084982,FALSE,"PPCT_HUMAN","Q9VJZ2_DROME"
"TRINITY_DN13170_c0_g1",28.6456333319315,-0.282482038088271,0.268391280071744,0.000368140451360689,0.0198471629984911,FALSE,"SY65_DROME","SY65_DROME"
"TRINITY_DN13316_c0_g1",933.770080441882,12.1071111912985,14.0767716014456,2.76461922067659e-05,0.00394604642721033,FALSE,"COX1_AEDAE","COX1_DROME"
"TRINITY_DN13447_c0_g1",46.9131365848266,-0.179386085786832,0.23547885776803,0.00378432819649351,0.0747819436438558,FALSE,"SO74D_DROME","Q9W269_DROME"
"TRINITY_DN13454_c0_g1",36.1220280667894,0.316677237047149,0.206091167521842,0.000893040516175851,0.0331485946509427,TRUE,"GEN_HUMAN","GEN_DROME"
"TRINITY_DN136044_c0_g1",29.6557759009525,-0.258028237383602,0.658658661534551,0.000307703389040648,0.0178765307132253,FALSE,"AMPN_BOVIN","Q0KI00_DROME"
"TRINITY_DN14125_c1_g1",39.0654084698962,-0.199316327027642,0.247580257195608,0.00197206921205547,0.0516512913098092,FALSE,"CHS2_CAEEL","Q9VNW7_DROME"
"TRINITY_DN14341_c0_g1",25.7727966541178,-0.153721041732057,0.244182051509794,0.00478150423066034,0.0851571310020657,FALSE,"ZN423_RAT","A0A0B4JD76_DROME"
"TRINITY_DN15094_c0_g1",58.9584679194953,0.274103794771808,0.206018274846232,0.00267800001968242,0.0608957253759302,FALSE,"ZGPAT_ANOGA","ZGPAT_DROME"
"TRINITY_DN1524_c0_g2",126.35804794286,0.270399265396562,0.198720484498221,0.00535420013237672,0.0905239914306552,FALSE,"ALKB6_XENLA","Q9VKU5_DROME"
"TRINITY_DN15818_c0_g1",185.389593100621,0.252573740842111,0.220546390964206,0.00170550695992259,0.0476007610276011,FALSE,"TTD14_DROME","TTD14_DROME"
"TRINITY_DN1582_c0_g1",37.5892264934944,0.229573898664822,0.20993612399127,0.00603819600826374,0.0966501079499416,FALSE,"MCCB_MOUSE","MCCB_DROME"
"TRINITY_DN1585_c0_g1",571.729712424855,0.272906280122579,0.204495127648211,0.00313281532169294,0.0669774310155043,FALSE,"PUR2_CHICK","X2J516_DROME"
"TRINITY_DN15975_c0_g2",86.7052446616977,-0.241190465111207,0.239176110153086,0.0011447651501467,0.0383975326777862,FALSE,"SCRB2_MOUSE","Q7KVF1_DROME"
"TRINITY_DN1632_c0_g1",125.016041711278,-0.353625837598685,0.184301244160106,0.00112860694260495,0.0381457610584023,FALSE,"Y6434_DICDI","M9PG83_DROME"
"TRINITY_DN1668_c0_g1",358.285028723978,0.134000220378864,0.353492770634674,0.00255449314245473,0.059484910735096,TRUE,"SL9A1_MOUSE","B7YZY3_DROME"
"TRINITY_DN16709_c0_g1",10.6951048457413,-0.126726015585565,0.255935333489383,0.00633948565779291,0.0991398619752928,FALSE,"RIR1_MOUSE","RIR1_DROME"
