"genes","baseMean","log2FoldChange","lfcSE","pvalue","padj","isDescendant","swiss_prot","fly"
"TRINITY_DN1004_c1_g1",1043.48504209863,-0.689956354409249,0.243709686555252,0.0015417778852001,0.0404926189074928,FALSE,"RPGF2_CANLF","B7Z025_DROME"
"TRINITY_DN1004_c8_g2",341.627012478045,-0.854250379119503,0.200279544563062,4.1414844206301e-06,0.000914549049247336,FALSE,"SRPK1_MOUSE","M9NDF9_DROME"
"TRINITY_DN10056_c0_g1",288.70000825821,0.834114360236757,0.25078837373794,0.000176809290424944,0.0112222727070315,TRUE,"SEM1_BOVIN","SEM1_DROME"
"TRINITY_DN1008_c0_g1",1700.90287293217,-0.96663874690702,0.32062399159815,0.000242815451760508,0.0136418525627781,TRUE,"RUSC2_MOUSE","A8JR84_DROME"
"TRINITY_DN10093_c0_g1",93.7744259921822,-1.66662967000313,0.71082172245991,6.94668645067217e-06,0.00133070893039111,FALSE,"AP21_ORYSI","Q9VEZ2_DROME"
"TRINITY_DN10095_c2_g1",44.695610211932,-1.84081461733062,0.749916056196884,2.11143662389812e-06,0.000545866448807613,FALSE,"TENM_DROME","M9PJK5_DROME"
"TRINITY_DN10102_c0_g1",422.812287143677,-0.547277787858868,0.196296088210715,0.00277033201986726,0.055968099046861,FALSE,"TRC_DROME","M9PG43_DROME"
"TRINITY_DN10107_c0_g1",205.141280195502,0.595958424572079,0.181536207514523,0.000487548265804657,0.0208942686042079,FALSE,"PSME3_PONAB","Q9V3P3_DROME"
"TRINITY_DN10135_c0_g1",140.519813019962,0.671401619868007,0.281837611394327,0.00556957166832453,0.0831768267475561,FALSE,"MCAT_HUMAN","COLT_DROME"
"TRINITY_DN10185_c0_g1",281.459193985249,-0.859928889303725,0.406545352338033,0.00348539837286393,0.0637277551280022,FALSE,"MYT1_MOUSE","GAR1_DROME"
"TRINITY_DN10207_c0_g1",26.7586584995602,0.807247175864979,0.350778343241257,0.00347789461146248,0.0637042028722462,TRUE,"DPOE3_RAT","DPOE3_DROME"
"TRINITY_DN1020_c0_g1",1317.11151038964,-0.699877167043168,0.291649633532958,0.00473763189336459,0.0755526361971417,FALSE,"SHRM4_HUMAN","SHRM_DROME"
