"genes","baseMean","log2FoldChange","lfcSE","pvalue","padj","isDescendant","swiss_prot","fly"
"TRINITY_DN10135_c0_g1",140.519813019962,0.51323503233397,0.315874718366027,0.000805733812657849,0.0276086108825559,FALSE,"MCAT_HUMAN","COLT_DROME"
"TRINITY_DN10459_c0_g1",16.052852293493,0.48485104589806,0.629282258864085,0.00228463239091478,0.0502761421444284,FALSE,"RL21_HUMAN","Q9V9M7_DROME"
"TRINITY_DN10528_c0_g1",74.6866285312472,0.331825752731699,0.165025357408302,0.00353191733829586,0.0641047028769806,FALSE,"NUBP2_NEMVE","NUBP2_DROME"
"TRINITY_DN105_c0_g1",1138.87527543336,0.542619786519495,0.482162449764636,0.00173991964256631,0.0430565795439425,TRUE,"ENPL_PIG","Q9VAY2_DROME"
"TRINITY_DN1070_c1_g1",1071.50675818243,-0.898752618840405,0.407147296269784,4.40173467880738e-05,0.00486009586984013,FALSE,"PTHD3_MOUSE","Q86P36_DROME"
"TRINITY_DN10761_c0_g1",237.899889141784,-0.797557184672318,0.615101450076375,0.000517216912407328,0.021640763944264,TRUE,"ERCC2_MOUSE","Q7KVP9_DROME"
"TRINITY_DN109172_c0_g2",3.62750205354419,0.214558788653838,0.555430258324818,0.00238117467919287,0.0517534210390094,FALSE,"F263_HUMAN","Q9VWH7_DROME"
"TRINITY_DN10932_c0_g1",27.937104569061,0.746190912396663,0.786752103457125,0.000553100366004696,0.0225374554278286,TRUE,"CO1A1_HUMAN","Q9VN36_DROME"
"TRINITY_DN1099_c0_g1",421.063293928752,-0.548474919629847,0.393809793281018,0.00103866492191241,0.0323626407262299,FALSE,"B3GT4_RAT","Q9VLS8_DROME"
"TRINITY_DN11003_c0_g1",950.729700540761,0.402915064952967,0.18107971053832,0.000938972952821026,0.0302823538810911,TRUE,"SERP2_BOVIN","Q8SYY6_DROME"
"TRINITY_DN11146_c0_g1",310.517456984724,0.559712694730406,0.455287847643943,0.00135067492089612,0.0373479233126746,FALSE,"AIFM1_HUMAN","M9PBQ4_DROME"
"TRINITY_DN1117_c1_g2",5211.6176202843,-0.335601179156156,0.289875668741735,0.00757437888429399,0.098727169966313,FALSE,"GPSM2_HUMAN","Q9VB22_DROME"
"TRINITY_DN11229_c0_g1",27.1579573200679,-0.439641320256033,0.516173897436686,0.00383971036980776,0.0674579834527718,FALSE,"TM198_XENTR","Q9VWD2_DROME"
"TRINITY_DN11231_c0_g1",158.959962318632,-0.902119585012283,0.649309237347502,0.000333122885561811,0.0166556204999686,FALSE,"NOCT_DROME","NOCT_DROME"
"TRINITY_DN11442_c1_g1",34.1806181056949,-0.836323869591214,0.853003232308069,0.000311787753556209,0.0161212012607055,FALSE,"APG_BRANA","Q9VQK3_DROME"
"TRINITY_DN11479_c0_g2",9.71946007569365,-0.162626109024443,0.452556677114706,0.00620695171015465,0.0884692323761577,TRUE,"TBX2_CANLF","Q9W3F4_DROME"
"TRINITY_DN115526_c0_g2",3.69585410298046,0.181054694256105,0.483657032517335,0.00448684866044692,0.0732429674299546,TRUE,"NEDD4_MOUSE","B7YZY9_DROME"
"TRINITY_DN1159_c2_g2",60.8410619160429,-0.900035129043586,0.995697077256303,0.000122570282930215,0.00897723109779453,TRUE,"DHX9_MOUSE","GAR1_DROME"
"TRINITY_DN11664_c0_g1",12.2914394494642,0.254057848632361,0.496463972477827,0.00687318400334979,0.0938163787698144,TRUE,"ENPL_MOUSE","Q9VAY2_DROME"
"TRINITY_DN1170_c1_g1",619.479182657387,-0.331373280822793,0.196556409125744,0.00530847157113225,0.0809611930409757,FALSE,"KLHL5_HUMAN","X2JD28_DROME"
