"genes","baseMean","log2FoldChange","lfcSE","pvalue","padj","isDescendant","swiss_prot"
"TRINITY_DN10004_c0_g1",22.0890831238049,0.181681010400177,0.275596716314502,0.0019334720655745,0.0645007359765336,FALSE,"ZN225_HUMAN"
"TRINITY_DN10148_c0_g1",44.3420593313356,-24.573880161931,3.59783015397194,4.08202429555921e-12,2.20755873903842e-08,FALSE,"Y0170_DICDI"
"TRINITY_DN10205_c1_g1",195.695618748716,-0.220618426154805,0.340601398781058,0.000646956549194029,0.0353408183640536,FALSE,"RTBS_DROME"
"TRINITY_DN104460_c0_g1",9.2355694675355,0.154058083681686,0.409814021777617,0.00133108085879634,0.0523526202499679,FALSE,"CF251_MOUSE"
"TRINITY_DN10462_c0_g1",72.6696324570479,14.4131555201513,14.2864628376489,1.73569215533676e-05,0.00383127476573926,FALSE,"RCAA_HORVU"
"TRINITY_DN104658_c0_g1",6.23174462293624,18.3828344319716,3.30660831118761,1.11174656222865e-08,1.72731013317192e-05,FALSE,"FUR2_DROME"
"TRINITY_DN106160_c0_g1",79.017340464226,-3.22013005433205,5.45169904318355,5.39213077260597e-05,0.00806922712853162,FALSE,"NU1M_ANOGA"
"TRINITY_DN10631_c0_g1",5.7503645216179,0.121199780768506,0.372735870583145,0.002679839687611,0.0770586653376292,FALSE,"DLGP3_MOUSE"
"TRINITY_DN10742_c0_g1",173.954953194172,0.137100250306949,1.14703181196027,0.00387585869742133,0.0952013730627159,FALSE,"SCTC_DICDI"
"TRINITY_DN10742_c0_g2",9.98229363087615,20.5409533972246,6.2931574492074,8.23326159504528e-07,0.000442794815860822,TRUE,"ACN2_ACAGO"
"TRINITY_DN10761_c0_g1",234.668479270796,-0.184259903798416,0.247077113756731,0.00356254168020252,0.0904046030546491,TRUE,"ERCC2_MOUSE"
"TRINITY_DN109840_c0_g2",10.8244079450621,0.132543293756148,0.338386235173183,0.00246203458303152,0.073817900572891,FALSE,"KIBRA_DROMO"
"TRINITY_DN11231_c0_g1",158.733672197768,-0.301248433041174,0.457931323880229,0.000171183573989233,0.0163851463386509,FALSE,"NOCT_DROME"
"TRINITY_DN11306_c0_g1",260.073702042051,0.300273436656901,0.237177963488878,0.00180074195125917,0.0618530079404983,FALSE,"ASND1_BOVIN"
"TRINITY_DN1143_c0_g2",123.751944555547,0.361425611366449,0.174184872188894,0.00174103692803545,0.0607558863609764,FALSE,"KLH18_HUMAN"
