"genes","baseMean","log2FoldChange","lfcSE","pvalue","padj","isDescendant","swiss_prot","fly"
"TRINITY_DN1000_c2_g1",20.3399933429331,-0.392251727501295,0.217566926921054,0.00126211370648126,0.0404202355715709,FALSE,"GP1_CHLRE","Q9VCM6_DROME"
"TRINITY_DN10022_c0_g1",863.441944991957,0.28996946285095,0.123233400060295,0.00396471670174046,0.0765405197493304,FALSE,"PA2G4_HUMAN","Q9VRP2_DROME"
"TRINITY_DN10080_c0_g1",5908.20762598636,-0.32654798617785,0.200003022820175,0.00552923832071427,0.0921849481369506,FALSE,"RS15_CHICK","A1ZAH8_DROME"
"TRINITY_DN10320_c0_g1",13733.1853061477,-0.374264941177673,0.184294285192717,0.00195446682860582,0.0513954475159094,FALSE,"RL5_HUMAN","R9Q794_DROME"
"TRINITY_DN10551_c0_g1",220.709654217979,0.408915715680514,0.210893246701585,0.00092057445500696,0.0336977807884467,FALSE,"TUSC3_MOUSE","Q8SY53_DROME"
"TRINITY_DN105_c0_g1",1140.02467898826,1.5358728486455,0.823098457117834,1.67977323353448e-06,0.000501153397794348,TRUE,"ENPL_PIG","Q9VAY2_DROME"
"TRINITY_DN106160_c0_g1",77.5558419523,12.1199244858861,2.60062002114461,1.51515749814473e-07,8.84138963623276e-05,FALSE,"NU1M_ANOGA","NU1M_DROME"
"TRINITY_DN10662_c0_g1",47.4767136986023,0.43998032988146,0.265936512715869,0.000373881480242177,0.0199940931752151,FALSE,"U5S1_CHICK","Q9VAX8_DROME"
"TRINITY_DN1070_c1_g1",1071.19566014177,-0.311772098695041,0.216219213778631,0.00610752837155116,0.0975238333131389,FALSE,"PTHD3_MOUSE","Q86P36_DROME"
"TRINITY_DN10742_c0_g2",9.61402511608963,-17.5612665907396,3.29818361989149,2.41795218288081e-08,2.23126378178396e-05,TRUE,"ACN2_ACAGO","Q9VNN3_DROME"
"TRINITY_DN10745_c0_g1",67.8711379721403,0.429726463916755,0.238139212677851,0.000520887783015519,0.0245473007482848,FALSE,"ACL6B_HUMAN","Q7K012_DROME"
"TRINITY_DN108109_c0_g1",7305.10848014315,-0.432796813233533,0.205155963613248,0.00054104648457408,0.0248852492396773,FALSE,"RS8_APIME","A0A0B4K6N1_DROME"
"TRINITY_DN10831_c0_g1",85.3989805997166,0.430195422602167,0.200326111360296,0.00056710358747414,0.0255132316904466,FALSE,"FUT10_CANLF","FUCTB_DROME"
"TRINITY_DN1089_c0_g2",7567.50150545323,-0.358597630278414,0.177204188412945,0.00266272700789326,0.0606527024530451,FALSE,"IF4A1_BOVIN","C9QP42_DROME"
"TRINITY_DN10932_c0_g1",27.9526763458619,0.374470358593624,0.606196945413053,0.000534070414996876,0.0247352814315561,TRUE,"CO1A1_HUMAN","Q9VN36_DROME"
"TRINITY_DN1099_c0_g1",420.572290342486,-0.553536138132234,0.345541452565844,6.27618751906961e-05,0.00664230499335217,FALSE,"B3GT4_RAT","Q9VLS8_DROME"
"TRINITY_DN11109_c0_g1",6135.41077035522,-0.350088691645322,0.212913145060631,0.00307641914305312,0.0663797235434192,FALSE,"RS17_CANLF","RS17_DROME"
"TRINITY_DN1128_c0_g2",7123.11983921239,-0.377142434780895,0.222820262293863,0.00162672028714834,0.0463708771508952,FALSE,"RL32_SPOFR","RL32_DROME"
"TRINITY_DN11413_c0_g1",11702.3248825347,-0.411942153142439,0.191932609195056,0.000840426641436847,0.0320655087809751,TRUE,"GBLP_DANRE","M9PCC1_DROME"
"TRINITY_DN11474_c0_g1",159.129730599309,0.320562135839294,0.20271720288289,0.00611142724539242,0.097546835517768,TRUE,"DER_MACCJ","Q9VIJ9_DROME"
"TRINITY_DN11477_c0_g1",536.594109540474,-0.326318776966184,0.21742555005723,0.00458199322421321,0.0827553441678562,FALSE,"RHBT1_HUMAN","M9PIB5_DROME"
"TRINITY_DN1156_c0_g1",1163.06174969879,-0.307399077454267,0.144373037942771,0.00510782284649675,0.0883515303177816,TRUE,"BRC1_DROME","SSRP1_DROME"
"TRINITY_DN117538_c0_g1",2967.86289139736,15.7552306686457,2.55358319341038,3.6100349191334e-10,1.10189373531703e-06,FALSE,"COX1_DROMA","COX1_DROME"
"TRINITY_DN117845_c0_g1",943.258343846208,14.6726029470531,2.64808216865987,1.18471962469051e-08,1.20537627455691e-05,FALSE,"COX1_DROYA","COX1_DROME"
"TRINITY_DN11989_c0_g1",106.969267709841,-0.241788159879106,0.267228714690315,0.00597939646598369,0.0959411450749021,TRUE,"CHRD_XENLA","SOG_DROME"
"TRINITY_DN1253_c4_g2",358.428664623298,0.438748801248063,0.137847082451836,7.65621302034661e-05,0.0074460424668469,FALSE,"MPI_MOUSE","Q9VH77_DROME"
"TRINITY_DN12542_c0_g1",32.252809137852,-0.279779522968907,0.239322025174723,0.00635431496036473,0.0991398619752928,TRUE,"DCR1_DROME","DCR1_DROME"
"TRINITY_DN12606_c0_g1",4019.53855884895,-0.331207899537195,0.221986527136941,0.00390085058942978,0.0758753683277322,FALSE,"RL371_DROME","M9PH59_DROME"
"TRINITY_DN1282_c0_g2",13953.4754634647,-0.320196760542278,0.197008122888342,0.00640379321677437,0.0995699509567426,FALSE,"RS4_SPOFR","X2JGM9_DROME"
"TRINITY_DN1305_c0_g1",4022.27710387954,-0.370479330752247,0.233200262821088,0.00163110862539654,0.046395978677946,FALSE,"PEPD_HUMAN","Q9VG79_DROME"
"TRINITY_DN13170_c0_g1",28.6456333319315,0.301509688284434,0.251285412675835,0.00366751044153528,0.0734718199023252,FALSE,"SY65_DROME","SY65_DROME"
"TRINITY_DN13316_c0_g1",933.770080441882,-26.302389761506,5.06902114142376,1.58355494199196e-08,1.53257219751807e-05,FALSE,"COX1_AEDAE","COX1_DROME"
"TRINITY_DN13447_c0_g1",46.9131365848266,0.246192734598149,0.269299514860169,0.00549860860083622,0.0919059769507925,FALSE,"SO74D_DROME","Q9W269_DROME"
"TRINITY_DN13454_c0_g1",36.1220280667894,-0.377866943131252,0.21320090457136,0.00175196090263065,0.0483098044589189,TRUE,"GEN_HUMAN","GEN_DROME"
"TRINITY_DN136044_c0_g1",29.6557759009525,3.67229291702449,1.52401724355992,1.31247955738256e-06,0.000426878597024098,FALSE,"AMPN_BOVIN","Q0KI00_DROME"
"TRINITY_DN13793_c0_g1",52.1118088593046,0.424546590668699,0.311916552997455,0.000397901135141691,0.0206929450097278,FALSE,"DJC22_BOVIN","Q9VX95_DROME"
"TRINITY_DN13853_c0_g1",82.4127862329494,0.33960272401841,0.250399452528324,0.00213660504924258,0.0538288814945685,FALSE,"IF6_XENLA","IF6_DROME"
"TRINITY_DN13997_c0_g2",405.644851109662,0.339982987644453,0.198343880204337,0.00422985065760496,0.0789837525147128,FALSE,"ARMET_DROYA","ARMET_DROME"
"TRINITY_DN14338_c0_g1",5.38179404638127,-0.259794541822232,0.757912095252758,0.00112051449089212,0.0381320883349908,FALSE,"RADI_BOVIN","M9NG50_DROME"
"TRINITY_DN1439_c0_g2",353.019397519578,-0.321741507632052,0.198523494261328,0.00615288344839079,0.0978460675480442,FALSE,"DENR_DROME","DENR_DROME"
"TRINITY_DN144_c1_g1",1052.81578791264,-0.378567216642091,0.248391493127846,0.00118304219966174,0.038981923805648,FALSE,"ZC21C_MOUSE","C9QPD4_DROME"
"TRINITY_DN14550_c1_g1",5.00770610398296,-0.152767735027634,0.507167030201799,0.00384830580079888,0.0754077897163948,FALSE,"ELOV7_RAT","Q95T98_DROME"
"TRINITY_DN14649_c0_g1",7521.26923972159,-0.327059369905072,0.18427673481875,0.00564166540563935,0.0930691491787091,FALSE,"RL21_HUMAN","Q9V9M7_DROME"
"TRINITY_DN1472_c0_g1",7018.35893681037,-0.431514200025815,0.21272622734555,0.000558364825638867,0.0253500186285472,FALSE,"RS7_BOVIN","Q8IMI7_DROME"
"TRINITY_DN1486_c0_g1",185.831861173223,0.442231616279197,0.309128084893674,0.00031296578210783,0.018050119526219,FALSE,"TXND5_HUMAN","TXND5_DROME"
"TRINITY_DN15094_c0_g1",58.9584679194953,-0.399353675313972,0.237143043730101,0.000925754265725558,0.0338281521415776,FALSE,"ZGPAT_ANOGA","ZGPAT_DROME"
"TRINITY_DN15229_c0_g1",37.2446027334525,-0.603909511393092,0.368275015644124,3.26049722395887e-05,0.00437082871103675,FALSE,"DPOE2_BOVIN","DPOE2_DROME"
"TRINITY_DN15240_c0_g1",2035.62487800628,-0.329936961737669,0.184781893432328,0.00530848044128678,0.0899835321104958,FALSE,"PELO_DROME","PELO_DROME"
"TRINITY_DN15463_c0_g2",2986.52332923042,-0.368883522738863,0.218075597694125,0.00200932726848412,0.0519062080910344,FALSE,"RS21_XENTR","M9PEA6_DROME"
"TRINITY_DN156_c2_g1",116.504039448728,0.33256146233458,0.224269185535742,0.00366878521096463,0.0734718199023252,FALSE,"GALT6_DROME","M9PBK1_DROME"
"TRINITY_DN15818_c0_g1",185.389593100621,-0.410715923074018,0.286399897446905,0.000534850591438386,0.0247352814315561,FALSE,"TTD14_DROME","TTD14_DROME"
"TRINITY_DN1588_c0_g1",6413.45554790632,-0.906988812847413,0.38143989049014,2.48251776267621e-07,0.00013494014359314,FALSE,"ZFAN6_BOVIN","A0A0B4KGY1_DROME"
"TRINITY_DN160_c0_g1",831.40408116293,-0.338347341497931,0.119430975625421,0.000757750113811069,0.0303405898244432,TRUE,"FNBP1_XENLA","Q9VZD7_DROME"
"TRINITY_DN162_c0_g1",651.296294027293,0.330583731174547,0.172281844569973,0.00484244686857304,0.0856657564623175,FALSE,"SND1_RAT","SND1_DROME"
"TRINITY_DN1632_c0_g1",125.016041711278,0.515788730093324,0.189505502135571,5.31661411003172e-05,0.00601742842126772,FALSE,"Y6434_DICDI","M9PG83_DROME"
"TRINITY_DN1664_c1_g2",6591.62058731118,-0.333761563389699,0.177963858416712,0.00472795209192281,0.084392775082095,FALSE,"RPGF1_HUMAN","Q9VNB9_DROME"
"TRINITY_DN1678_c1_g1",63.8545405834667,-0.454187517960242,0.226044653539273,0.00033408858721582,0.0188373029205939,FALSE,"ADF1_DROME","ADF1_DROME"
"TRINITY_DN1704_c4_g1",23.3744475471198,0.305292068521979,0.287432162501734,0.00217178027287875,0.0543698682825419,FALSE,"U19BA_XENLA","Q540Y4_DROME"
"TRINITY_DN1720_c3_g1",525.847394582712,-0.326125916810983,0.17808606901355,0.00560455035034277,0.0927778714649984,TRUE,"TYY1_HUMAN","PHO_DROME"
"TRINITY_DN17269_c0_g1",111.440316167436,0.343023546181428,0.222589504759971,0.00311239751767801,0.0667618107071714,FALSE,"PXDN_HUMAN","Q9VEJ9_DROME"
"TRINITY_DN1731_c1_g1",67.9531538338667,0.395055692528869,0.20455951440536,0.00126855877131247,0.0405049429081905,FALSE,"CALYP_AEDAE","CALYP_DROME"
"TRINITY_DN1738_c0_g1",2541.19421250307,-0.48458867698777,0.202502166476467,0.000151973198974108,0.011486279114843,FALSE,"EIF3D_NASVI","EI3D2_DROME"
"TRINITY_DN17634_c0_g1",395.002136393193,-0.350618665834056,0.204671094937075,0.00327204958107342,0.0686957287708959,FALSE,"SUV42_DROME","M9NE25_DROME"
"TRINITY_DN17789_c0_g1",8.59561573471464,0.275046394710733,0.378437400884956,0.00176229776796238,0.0484937416315863,FALSE,"ELAV4_HUMAN","Q9VQJ0_DROME"
"TRINITY_DN1782_c0_g1",252.055262521711,0.321312609370144,0.214902539046275,0.0052232780720001,0.0894037240372776,FALSE,"EPT1_BOVIN","Q9VIU4_DROME"
"TRINITY_DN1831_c0_g1",3079.97148836879,-0.303953635521769,0.128378820337402,0.00332954122620874,0.0694252211539478,TRUE,"BAG6_MOUSE","M9PHN9_DROME"
"TRINITY_DN1850_c0_g1",478.475944176152,0.395143120842083,0.185597507294259,0.00120297925857244,0.0393521986645954,FALSE,"IPO4_HUMAN","Q9I7R5_DROME"
"TRINITY_DN18661_c2_g1",7185.3569507473,-0.419069969946655,0.206968798199127,0.000740964761646602,0.029988204233719,FALSE,"RL18A_DANRE","RL18A_DROME"
"TRINITY_DN189317_c0_g2",10.6291697956766,-0.354083042281776,1.41430843124957,0.000937636312584509,0.0340708872558181,FALSE,"K1C9_MOUSE","Q9VWM4_DROME"
"TRINITY_DN1935_c0_g1",386.324108863824,0.326794188718918,0.130327441007146,0.00190227919904993,0.0508109479440586,FALSE,"BTAF1_HUMAN","Q9VF02_DROME"
"TRINITY_DN1936_c1_g1",723.46087695987,-0.34779740467698,0.191036358629534,0.00363411812086338,0.0730299097766185,FALSE,"Y258_HAEIN","A0A0B4LEW1_DROME"
"TRINITY_DN19569_c0_g1",2327.09986636876,-0.33104538075323,0.222317224495604,0.00389173092754267,0.0758607772230926,FALSE,"RL38_JULON","A0A0B4KED0_DROME"
"TRINITY_DN19635_c1_g1",30.6643301098967,-0.526113921568963,0.767990534365118,0.000210411472306328,0.0139583765625175,FALSE,"UBR4_RAT","M9PB68_DROME"
"TRINITY_DN19646_c0_g1",14.3230159008456,-2.08346573843945,5.34882060006559,0.000264872728574369,0.0162948059997379,FALSE,"GCSP2_ARATH","Q9VH09_DROME"
"TRINITY_DN19731_c0_g1",132.166231932216,-0.406779165801693,0.225974535732175,0.000884031238817829,0.0328566710166515,FALSE,"TBA1_PARLI","TBA4_DROME"
"TRINITY_DN19731_c0_g2",181.243800220408,-0.37437968764485,0.283981428140624,0.000910592128075998,0.0335178994824263,FALSE,"TBA_LYTPI","Q9VED6_DROME"
"TRINITY_DN20489_c0_g1",17491.2313361974,-0.327027598524298,0.211710875393712,0.00489394655958729,0.0861160973323386,FALSE,"RS2_URECA","M9PB84_DROME"
"TRINITY_DN20560_c0_g1",149.286801093664,-0.30853255665371,0.216866241057094,0.00640976841635972,0.0996238193345686,FALSE,"GPDM_BOVIN","Q7K569_DROME"
"TRINITY_DN207_c1_g1",14406.1300863404,-0.355937481520797,0.205803067918916,0.00290868342758828,0.0641464518335786,FALSE,"RL10_BOMMA","M9PIM0_DROME"
"TRINITY_DN2099_c1_g1",6417.14616423417,-0.360202382512807,0.212151483396327,0.00253262462859175,0.0590407046705028,FALSE,"RL24_DROME","X2JE06_DROME"
"TRINITY_DN21458_c1_g1",51.3100529923084,0.354189725799438,0.249186771308288,0.001734911694771,0.0479396212037,FALSE,"MTFP1_HUMAN","Q9VX02_DROME"
"TRINITY_DN2169_c0_g1",560.81661874785,-0.447574556454912,0.211749083800987,0.000389105615918374,0.0203959192069235,TRUE,"ACADV_BOVIN","A1ZBJ2_DROME"
