"genes","baseMean","log2FoldChange","lfcSE","pvalue","padj","isDescendant","swiss_prot"
"TRINITY_DN10004_c0_g1",22.1621514783666,0.82409793240213,0.535788660976993,0.0021932192335137,0.0985933882002973,FALSE,"ZN225_HUMAN"
"TRINITY_DN1004_c8_g2",340.759875572933,-0.759620785407163,0.259502190823897,0.000745124764497082,0.0543399825227303,FALSE,"SRPK1_MOUSE"
"TRINITY_DN10093_c0_g1",93.7334016165748,-0.967661480536657,0.596791547711374,0.000470035385883521,0.0418227349702386,FALSE,"AP21_ORYSI"
"TRINITY_DN10095_c2_g1",44.4865029818301,-1.01630510849427,0.606457312449366,0.000316493414377263,0.0333594580844402,FALSE,"TENM_DROME"
"TRINITY_DN10102_c0_g1",422.327207349671,-0.693610047125981,0.261154786699374,0.00216810502787414,0.0981196339250934,FALSE,"TRC_DROME"
"TRINITY_DN10148_c0_g1",44.5054756090721,-17.3229535821844,5.31665802687582,4.76523269878778e-07,0.000406321796654961,FALSE,"Y0170_DICDI"
"TRINITY_DN10264_c0_g1",1008.48032220423,0.737059018702148,0.28171848722721,0.00197762164924968,0.0936172675108072,TRUE,"RHEB_DROME"
"TRINITY_DN1056_c0_g1",1405.84956819077,0.489825597006531,0.156603508554473,0.00101091935095329,0.0641007998554993,FALSE,"WAC_DROME"
"TRINITY_DN10598_c0_g1",39.4895600781763,-0.977592012827608,0.460910903828008,0.000821212552549089,0.0572008877265768,FALSE,"H6ST2_HUMAN"
"TRINITY_DN10600_c0_g1",49.4346252060206,-0.927816908143013,0.490801037814265,0.0012508543753654,0.0719508327511886,TRUE,"METRL_DANRE"
"TRINITY_DN106160_c0_g1",78.6954185742341,-0.660911016856937,1.89198373212061,0.000625783983154453,0.049051367049132,FALSE,"NU1M_ANOGA"
"TRINITY_DN10667_c0_g1",855.502101767498,-1.20474393880267,0.30788973946579,2.34624879025129e-06,0.00130261137905214,FALSE,"PKHA7_DANRE"
"TRINITY_DN10670_c1_g1",6.61053499063925,-0.535211841100803,0.789113175361665,0.00181146955209517,0.0893057405570269,FALSE,"MSTAA_DROME"
"TRINITY_DN1071_c0_g1",586.721716235033,0.86435693141338,0.348226953277529,0.00134658737552632,0.0751384756172439,FALSE,"HDA11_MOUSE"
"TRINITY_DN10742_c0_g1",172.378567430197,0.431255889219782,1.67540390124404,0.00171206052787881,0.0859784094025543,FALSE,"SCTC_DICDI"
"TRINITY_DN10742_c0_g2",9.86623511299,19.4533723647807,6.86908266478239,6.95250582090426e-07,0.000536929545691835,TRUE,"ACN2_ACAGO"
"TRINITY_DN10748_c0_g2",52.6443427230183,-1.00780622011747,0.493072696009042,0.000571521524918834,0.0466811032109298,FALSE,"PLRX2_ARATH"
"TRINITY_DN10839_c0_g1",33.8304192153896,-1.73827476628211,0.833926515556294,1.61948651472877e-06,0.000961129346544152,FALSE,"S35G1_HUMAN"
"TRINITY_DN10852_c0_g1",34.2280406634665,-0.912805367067106,0.522219151288522,0.00118551156396783,0.0697796196706858,FALSE,"A2MG_PONAB"
"TRINITY_DN1090_c0_g2",664.205130288953,-0.843199766472891,0.290364381949967,0.000529051735020605,0.044540906239233,TRUE,"SZT2_HUMAN"
"TRINITY_DN11037_c0_g1",63.7391551173206,0.968962207850557,0.370658116108622,0.000504525465219381,0.0435409813379442,FALSE,"RAD17_HUMAN"
"TRINITY_DN11050_c0_g1",20.8605854246686,-0.993732709354867,1.00277792687547,0.00015510992928337,0.0216535618080455,FALSE,"043R_FRG3G"
"TRINITY_DN1114_c1_g1",256.882761375064,-0.842643027753295,0.328070880819491,0.00127062166573281,0.0727563763311909,FALSE,"TES_RAT"
"TRINITY_DN1116_c0_g1",342.591085069828,-1.17716023566039,0.469773883539062,9.33664872518616e-05,0.0160169441963548,TRUE,"MY61F_DROME"
"TRINITY_DN1116_c0_g2",1041.1857334361,-0.958526995139965,0.364856817618448,0.000529039915595455,0.044540906239233,TRUE,"MY61F_DROME"
"TRINITY_DN11231_c0_g1",158.448026354229,-0.865145192090622,0.512409407013734,0.00192891192249171,0.0923272120675847,FALSE,"NOCT_DROME"
"TRINITY_DN11238_c0_g1",88.8795362607816,-1.33504632591664,0.472967875863411,1.4181424136571e-05,0.00458920275986547,FALSE,"MTH1_DROME"
"TRINITY_DN11366_c0_g1",792.892475137724,0.785955797189582,0.571816662521767,0.00198523902704513,0.0936833752535404,FALSE,"DEAHB_ARATH"
"TRINITY_DN11462_c0_g1",168.641601598053,0.963346993291756,0.517250462919701,0.000783223244314083,0.0559002390888528,FALSE,"TIM21_XENLA"
"TRINITY_DN1149_c0_g1",178.412080968746,0.912474758072678,0.382033560644379,0.00115359037847952,0.0687500097974194,FALSE,"PNO1_NEMVE"
"TRINITY_DN116765_c0_g1",141.405243232306,0.808305118286168,0.275972380058393,0.000587953653724292,0.0474760753257961,FALSE,"TPC6B_BOVIN"
"TRINITY_DN117088_c0_g1",10.9097354455733,0.57362000782855,2.77929557970964,0.00105939135677455,0.0657215412455051,FALSE,"PSAD_HORVU"
"TRINITY_DN117538_c0_g1",2981.57599473189,-6.73292413363476,7.38247826658683,1.69219896943688e-05,0.00523707998008501,FALSE,"COX1_DROMA"
"TRINITY_DN117845_c0_g1",948.914443416045,-2.00915481776408,4.53079671106049,0.000120856666148998,0.0188043829724704,FALSE,"COX1_DROYA"
"TRINITY_DN1189_c1_g1",3762.24889717916,-0.968225749296173,0.358016293647087,0.000418622668598256,0.0390658285221096,FALSE,"S6A13_RAT"
"TRINITY_DN118_c0_g1",805.400536700799,1.08367019232345,0.383886433102204,0.000139526622495864,0.0202769714979634,FALSE,"Y1760_DROME"
"TRINITY_DN11911_c0_g1",29.6635986688119,-1.02085928169835,2.67009683641288,0.000274471708468923,0.0306746322351596,FALSE,"LPLT2_CAEEL"
"TRINITY_DN119542_c0_g1",9.60190914544433,1.84610568855316,3.39217392478731,7.24240361995686e-05,0.0135639783577496,FALSE,"S22AC_MOUSE"
"TRINITY_DN1195_c0_g1",316.182615821234,-1.57459267182192,0.668382087576107,2.89585599925714e-06,0.00147830994646823,FALSE,"CP341_MOUSE"
"TRINITY_DN1196_c0_g2",41.8703538479112,1.15211701860668,0.439899965225823,0.00010785650121633,0.0175359242112531,TRUE,"DNAL1_MOUSE"
"TRINITY_DN1198_c0_g1",185.668103845963,-0.825704025530074,0.347106314276305,0.00212490725727987,0.0969135503266138,TRUE,"S27A4_HUMAN"
"TRINITY_DN12059_c0_g1",122.971687247908,0.891824101462358,0.412556238065075,0.00183310552065852,0.0898838712159991,FALSE,"ZN225_HUMAN"
"TRINITY_DN120715_c0_g2",14.6528871296763,0.686948853820573,3.17144715688141,0.000795445271713764,0.0563718026794044,FALSE,"CB12_SOLLC"
"TRINITY_DN12121_c2_g1",96.9371770360952,-1.02559125355937,0.344287313359672,0.000146143938671603,0.0209331768311953,FALSE,"TGO1_DROME"
"TRINITY_DN1231_c0_g2",79.9992080425692,-0.954196458672564,0.435398462124918,0.001019841226101,0.064369777744709,FALSE,"PAX2A_DANRE"
"TRINITY_DN12475_c1_g1",254.917772192425,-0.942889175563597,0.29693925314654,0.000137494914103956,0.0200785906322281,FALSE,"ZN235_HUMAN"
"TRINITY_DN12492_c0_g1",309.084135900625,1.12620662576235,0.451349013268242,0.000156494681671807,0.0216948861502663,FALSE,"HEM4_HUMAN"
"TRINITY_DN124_c2_g1",872.806336527116,-0.912665690848962,0.417668384987873,0.0014981910184794,0.0799819864494127,FALSE,"C1TC_HUMAN"
"TRINITY_DN1253_c2_g1",354.859648117906,-1.04412783614221,0.439234663013301,0.000381512378168411,0.0371150553942307,FALSE,"KDISB_DANRE"
"TRINITY_DN1253_c9_g2",61.8000138942114,-0.728110828087853,0.618415925497938,0.00177506664437918,0.088204752075625,FALSE,"PERK2_ARATH"
"TRINITY_DN1256_c1_g1",865.320337042532,-1.17913158892515,0.595977848954208,9.15211046363683e-05,0.0157967000031105,FALSE,"LRC15_HUMAN"
"TRINITY_DN125_c2_g1",1364.31783607603,0.842674313964361,0.248526356562062,0.000113774822074622,0.0181255472965911,FALSE,"FKB12_DROME"
"TRINITY_DN1267_c1_g1",213.964886331181,0.65436114242943,0.22914249596385,0.00143627115734192,0.0781554670062898,FALSE,"SCYL2_HUMAN"
"TRINITY_DN126_c0_g1",259.276791972758,0.930422931291414,0.383960505058671,0.000952235026400133,0.0624060126755875,TRUE,"SMAL1_XENLA"
"TRINITY_DN1280_c3_g1",58.6949589197908,0.986441496850009,0.621336867077977,0.000364352503941549,0.0360688021896977,FALSE,"C1GLT_XENLA"
"TRINITY_DN12844_c0_g1",110.805169646192,-1.04222652622783,0.371081748964056,0.000196624683670691,0.0249552458414386,FALSE,"SSGP_VOLCA"
"TRINITY_DN1288_c5_g1",1467.05959636616,-1.53729185207269,0.48649630273929,1.08475457633948e-06,0.000746782241937571,TRUE,"NOTCH_DROME"
"TRINITY_DN13033_c0_g1",92.5834943298954,-0.885461844872584,0.511893097980259,0.00162177407995886,0.0835978283078428,FALSE,"CP135_DANRE"
"TRINITY_DN13166_c0_g1",74.5484398740746,1.00744565550742,0.382270783504183,0.000364180002557217,0.0360688021896977,FALSE,"PPCT_HUMAN"
"TRINITY_DN1318_c0_g1",281.053835371048,-1.12640411863181,0.495098505287009,0.00017027627555632,0.0225492053758167,FALSE,"PLXB_DROME"
"TRINITY_DN13316_c0_g2",4804.15654705462,0.643279866556335,1.01152668986278,0.000717960043852635,0.0534922413377799,FALSE,"COX1_ANOGA"
"TRINITY_DN13466_c0_g1",27.9418853166956,1.12884994739835,1.18380891351131,8.35301365088826e-05,0.0148208788306983,FALSE,"XPP1_DICDI"
"TRINITY_DN13535_c0_g1",23.2404248488333,0.392240321207164,2.19038416306814,0.00198324643055586,0.0936833752535404,FALSE,"PSBO_WHEAT"
"TRINITY_DN136044_c0_g1",29.6742288071013,-1.10149390440864,0.884322171910263,0.00010364079013511,0.0170810230264262,FALSE,"AMPN_BOVIN"
"TRINITY_DN13770_c0_g2",77.5864598829857,-1.16193385368023,0.425664868023785,8.51420433906745e-05,0.0149964514905481,FALSE,"LPHN_DROMO"
"TRINITY_DN13882_c0_g1",19.3195910242959,-0.689598798109386,0.774281887908083,0.000908843408975547,0.0606564047768636,TRUE,"Y9847_DICDI"
"TRINITY_DN13942_c0_g1",66.6809774127823,-0.942805953887377,0.459056892922301,0.00117795453639262,0.0695277482755035,FALSE,"ACOT1_HUMAN"
"TRINITY_DN1417_c4_g1",1852.18048710205,-0.735545697941914,0.27871438939414,0.00187611806246697,0.0907739294032293,FALSE,"Y3427_DROME"
"TRINITY_DN14228_c0_g1",507.260164742749,-0.916041708276627,0.419728646923874,0.00145762653280947,0.0788110612843557,FALSE,"JAG2_MOUSE"
"TRINITY_DN1428_c0_g2",65.1973137997095,1.25455107137648,1.41894276314073,5.60550906416722e-05,0.0114169428101693,FALSE,"SHANK_CAEEL"
"TRINITY_DN14341_c0_g1",25.5954386524063,-0.927582094980769,0.609900574523814,0.000573619514367654,0.0467890214034918,FALSE,"ZN423_RAT"
"TRINITY_DN14364_c0_g1",64.0925798532472,0.872721078046896,0.368446768702266,0.00158838036714524,0.0824479591177034,FALSE,"RT4I1_DANRE"
"TRINITY_DN14381_c0_g1",177.577535516942,1.18902899631057,1.3654578047722,6.94669383863039e-05,0.0132097701206143,FALSE,"PLCE1_MOUSE"
"TRINITY_DN14381_c1_g1",11.7798137049963,0.794159890647847,1.03654136423813,0.000356682298701333,0.0357956470147423,FALSE,"PERK2_ARATH"
"TRINITY_DN1439_c0_g2",353.688642062399,1.2258221467424,0.349649169340086,8.21151922445231e-06,0.00314060631773053,FALSE,"DENR_DROME"
"TRINITY_DN14424_c0_g2",26.5086244207974,0.910604359395034,0.496076525223377,0.00143137911604956,0.0780113463770963,FALSE,"Y1533_BRAHW"
"TRINITY_DN1444_c3_g1",83.8228962354114,0.870697603364659,0.370490321112037,0.00166450220224196,0.0849354372373155,FALSE,"COA7_DROME"
"TRINITY_DN14463_c0_g2",148.768398794666,0.838459008826299,0.360814971329896,0.00217404014343802,0.0982812984318345,FALSE,"SPSY_BOVIN"
"TRINITY_DN1446_c0_g1",1293.88646937067,-0.966637469026003,0.492795131156461,0.000855084363730591,0.0585060693643463,FALSE,"HMCN1_MOUSE"
"TRINITY_DN1449_c2_g1",164.83452640821,-0.844638367371949,0.306131268986252,0.000781709702824924,0.0558915478679736,FALSE,"IDI1_MACFA"
"TRINITY_DN145518_c0_g1",88.6626852020426,-1.34810465973496,0.5021980707106,1.45975900437227e-05,0.00466487866872025,FALSE,"TIKI1_HUMAN"
"TRINITY_DN1455_c0_g1",377.879793435247,-0.951681295574273,0.387525695620879,0.000767607592025415,0.0554426212571067,FALSE,"ITA2_DROME"
"TRINITY_DN14617_c0_g1",14.7566278389749,0.978166335294736,0.501822625276581,0.000737576820786551,0.0539200880225003,FALSE,"SNF21_SCHPO"
"TRINITY_DN1472_c0_g1",7014.67042310661,0.824249971177961,0.337298202907369,0.00187433038520794,0.0907239162267221,FALSE,"RS7_BOVIN"
"TRINITY_DN1481_c11_g1",38.9238517636083,-0.906058719505598,0.714943421852357,0.000395936379090566,0.0378878722853972,FALSE,"ENTK_BOVIN"
"TRINITY_DN1488_c0_g1",2313.43788979776,0.629581869240215,0.210475088347744,0.00103708704779202,0.0650073356762704,FALSE,"TM1L2_HUMAN"
"TRINITY_DN1501_c1_g1",192.7947585709,-0.982824190312886,0.357273913754309,0.000341055368295168,0.0350833025229086,FALSE,"PCX1_HUMAN"
"TRINITY_DN1504_c3_g1",470.339592932249,-1.28309363893221,0.549755529562073,3.49770513036213e-05,0.00859978618950017,FALSE,"STEA2_MOUSE"
"TRINITY_DN15057_c0_g2",22.5117054723211,-0.881273916435675,0.468744224625748,0.00213584559175165,0.09724797184878,TRUE,"ADCY8_HUMAN"
"TRINITY_DN1506_c0_g1",240.092533072342,-0.848345887027566,0.29185500813419,0.000510807999795022,0.0439140548903519,FALSE,"AK1_DICDI"
"TRINITY_DN15094_c0_g1",59.0186157577284,0.995154477927276,0.389356890715179,0.000462816473592215,0.0414356285082872,FALSE,"ZGPAT_ANOGA"
"TRINITY_DN1509_c3_g3",917.271167285319,-1.10691213434579,0.443651913949982,0.000188896510302525,0.0243709769457767,FALSE,"OBSCN_MOUSE"
"TRINITY_DN15229_c0_g1",37.2839494130868,1.19618858684709,0.42209146487298,5.30169693604963e-05,0.0111618145165944,FALSE,"DPOE2_BOVIN"
"TRINITY_DN1524_c0_g2",126.240748884904,0.987232707538058,0.353397439125382,0.000299756037076102,0.0321579771351563,FALSE,"ALKB6_XENLA"
"TRINITY_DN15311_c0_g2",570.703957341002,0.930274437737845,0.35409898186865,0.000641783579212432,0.0497871979969072,TRUE,"PRS4_HUMAN"
"TRINITY_DN15430_c0_g1",161.757571248579,0.983900104436368,0.471266603725572,0.000762984561234537,0.0552411826918823,FALSE,"TMM69_XENTR"
"TRINITY_DN15628_c0_g1",306.66195676935,-0.889302054124668,0.415374650765989,0.00190870119551061,0.0917518161598582,FALSE,"PUR6_DROME"
"TRINITY_DN15649_c0_g1",49.1407505386838,0.841948478598512,0.33684088397395,0.00149156364782133,0.0797833211552594,FALSE,"RBX2_HUMAN"
"TRINITY_DN1566_c2_g1",182.380111209303,0.987113642945783,0.44926557430842,0.000736985261074265,0.0539095545313802,TRUE,"SIR4_MOUSE"
"TRINITY_DN1580_c1_g1",302.253654654258,-0.924790167774334,0.440802617511008,0.00141108481291424,0.0771333275502067,FALSE,"MCA1_YARLI"
"TRINITY_DN15818_c0_g1",185.549883800506,1.48662370241008,0.526315525545223,3.17909845258671e-06,0.00159585443822432,FALSE,"TTD14_DROME"
"TRINITY_DN16024_c0_g1",77.3988541334052,-1.41060088318773,0.616924359329359,1.154910161024e-05,0.00397539875884364,FALSE,"SC6A5_MOUSE"
"TRINITY_DN16034_c0_g1",135.238814796083,-2.70839572786145,1.40861358557427,2.52968398082404e-07,0.000265014093281528,FALSE,"PICO_DROME"
"TRINITY_DN16075_c0_g3",21.7761729246981,-0.933104194821288,0.980880545762564,0.000205680537589076,0.0256783092710689,FALSE,"KYNU_MOUSE"
"TRINITY_DN16135_c0_g2",590.882837723224,0.77069825034472,0.292917918899762,0.00161304147335346,0.0833688479381087,FALSE,"PSA7_CARAU"
"TRINITY_DN1613_c1_g1",126.19311915955,-1.02585062671668,0.56538152505687,0.000355236214219261,0.0357956470147423,FALSE,"DNER_MOUSE"
"TRINITY_DN1613_c3_g1",148.339076099151,1.09845900453426,0.246831538511022,4.65268479699885e-07,0.000406186125799445,FALSE,"TEX10_CHICK"
"TRINITY_DN1624_c0_g1",1771.31359265299,-0.911920950074875,0.41124576321311,0.00146194716024999,0.0789464572291696,TRUE,"NFKB1_DROME"
"TRINITY_DN1629_c0_g2",148.393349586546,-1.21175301892926,0.440399486929079,5.18803587343083e-05,0.011004116371258,TRUE,"ARLY_RAT"
"TRINITY_DN16319_c0_g1",169.981516175885,0.780362012043103,0.299728618633143,0.00164689637089591,0.0842869529227087,FALSE,"TI50C_DROME"
"TRINITY_DN1632_c0_g1",124.984852093955,-1.29894515811435,0.310015916713859,4.43509026067133e-07,0.00039755505831868,FALSE,"Y6434_DICDI"
"TRINITY_DN163_c0_g1",1561.200208881,-0.67399828445768,0.232886168923653,0.00118562104872252,0.0697796196706858,FALSE,"FAAH2_HUMAN"
"TRINITY_DN164196_c0_g1",179.83593800933,0.822911331604369,0.273474819834642,0.000430911223193128,0.039689954530134,TRUE,"PQBP1_PONPY"
"TRINITY_DN1641_c0_g1",118.160646293097,-0.940097454249307,0.423299781203696,0.00113871246898348,0.0682864725800167,FALSE,"GLPK_DESVH"
"TRINITY_DN1644_c0_g1",143.053323441326,-0.935149558016727,0.38337180706718,0.000894604066034491,0.0602026687111437,FALSE,"CRVP_CERRY"
"TRINITY_DN1646_c0_g1",21.7676986757529,-0.980911333681731,1.43440330822149,0.00015460731695628,0.0216084351712585,FALSE,"FH5_ORYSJ"
"TRINITY_DN1656_c1_g1",468.031448159981,-1.09346433559624,0.33915057732886,4.73921567695537e-05,0.010343509925668,FALSE,"FH5_ORYSJ"
"TRINITY_DN1660_c0_g1",168.516126323105,-1.06173308719602,0.421286498400209,0.000279893812139542,0.0310444627749181,FALSE,"LMO3_XENLA"
