"genes","baseMean","log2FoldChange","lfcSE","pvalue","padj","isDescendant","fly"
"TRINITY_DN106160_c0_g1",77.4907897483625,-3.41716993633284,5.55949004319496,5.24079131892585e-05,0.00597450210357547,FALSE,"NU1M_DROME"
"TRINITY_DN10742_c0_g2",9.61943203261504,20.8216730230857,6.06623988611512,7.15396242078998e-07,0.000294053929186524,TRUE,"Q9VNN3_DROME"
"TRINITY_DN10744_c0_g1",836.984826710107,0.248078459403896,0.204452985052162,0.00626714338592258,0.0984141815381572,FALSE,"Q8T8Y5_DROME"
"TRINITY_DN10761_c0_g1",237.490771682426,-0.188425945484654,0.233801536067125,0.00336806516394109,0.0699173323859428,TRUE,"Q7KVP9_DROME"
"TRINITY_DN11231_c0_g1",158.862062658185,-0.297962524182119,0.453707799994682,0.000158588359092235,0.0117896253611367,FALSE,"NOCT_DROME"
"TRINITY_DN11306_c0_g1",260.760516563946,0.285303881999603,0.206325707169286,0.00196776330948621,0.0516120541045959,FALSE,"ASND1_DROME"
"TRINITY_DN1159_c2_g2",60.6864578138229,-0.125383681104587,0.41217668406045,0.00254826878279926,0.0592254815282479,TRUE,"GAR1_DROME"
"TRINITY_DN116068_c0_g1",39.4986714917076,-0.125439609610688,0.383674386881738,0.00271220334530566,0.0614946905158969,FALSE,"OTOP_DROME"
"TRINITY_DN117538_c0_g1",2962.88662325775,-13.2262796376877,6.3248673106817,3.21211740848497e-06,0.000809215652315361,FALSE,"COX1_DROME"
"TRINITY_DN117845_c0_g1",941.968376758144,-5.80402955774421,7.26669485437996,3.20522575929485e-05,0.00433151237378615,FALSE,"COX1_DROME"
"TRINITY_DN1217_c0_g2",260.950432424054,-0.196960261462677,0.330989067331581,0.000919130167889045,0.0337333996509782,FALSE,"NOS_DROME"
"TRINITY_DN12200_c0_g1",26.9864029167603,-0.161599505553501,0.473076926702802,0.00119166157052869,0.039157884071189,FALSE,"NAAT1_DROME"
